Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007268~synaptic transmission	41	4.095904095904096	2.4092560265897938E-12	ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000022594, ENSMUSG00000017740, ENSMUSG00000031393, ENSMUSG00000042429, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000028969, ENSMUSG00000061601, ENSMUSG00000030806, ENSMUSG00000045103, ENSMUSG00000031144, ENSMUSG00000003872, ENSMUSG00000020402, ENSMUSG00000021448, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000039953, ENSMUSG00000031633, ENSMUSG00000029608, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	684	150	8692	3.4734113060428844	5.495601862470778E-9	5.495601862470778E-9	4.205924497568958E-9
GOTERM_BP_ALL	GO:0007268~synaptic transmission	41	4.095904095904096	2.6691674087523376E-12	ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000022594, ENSMUSG00000017740, ENSMUSG00000031393, ENSMUSG00000042429, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000028969, ENSMUSG00000061601, ENSMUSG00000030806, ENSMUSG00000045103, ENSMUSG00000031144, ENSMUSG00000003872, ENSMUSG00000020402, ENSMUSG00000021448, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000039953, ENSMUSG00000031633, ENSMUSG00000029608, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	717	150	9091	3.4656531845653182	6.427429255495554E-9	6.427429255495554E-9	4.688660570906222E-9
GOTERM_BP_ALL	GO:0051234~establishment of localization	211	21.078921078921077	1.432117620140448E-10	ENSMUSG00000040441, ENSMUSG00000004319, ENSMUSG00000018196, ENSMUSG00000024261, ENSMUSG00000064341, ENSMUSG00000031393, ENSMUSG00000020261, ENSMUSG00000066392, ENSMUSG00000046480, ENSMUSG00000031791, ENSMUSG00000053395, ENSMUSG00000025212, ENSMUSG00000033161, ENSMUSG00000002908, ENSMUSG00000033769, ENSMUSG00000020402, ENSMUSG00000025607, ENSMUSG00000019769, ENSMUSG00000031105, ENSMUSG00000007653, ENSMUSG00000038301, ENSMUSG00000025393, ENSMUSG00000031242, ENSMUSG00000017639, ENSMUSG00000023236, ENSMUSG00000036955, ENSMUSG00000059742, ENSMUSG00000037032, ENSMUSG00000040907, ENSMUSG00000037685, ENSMUSG00000070304, ENSMUSG00000042429, ENSMUSG00000006273, ENSMUSG00000052726, ENSMUSG00000021687, ENSMUSG00000027130, ENSMUSG00000001036, ENSMUSG00000000531, ENSMUSG00000003153, ENSMUSG00000033287, ENSMUSG00000019785, ENSMUSG00000066189, ENSMUSG00000026490, ENSMUSG00000031672, ENSMUSG00000047126, ENSMUSG00000036298, ENSMUSG00000027894, ENSMUSG00000006576, ENSMUSG00000024109, ENSMUSG00000063077, ENSMUSG00000027010, ENSMUSG00000048482, ENSMUSG00000030685, ENSMUSG00000034973, ENSMUSG00000038453, ENSMUSG00000012535, ENSMUSG00000037996, ENSMUSG00000001576, ENSMUSG00000004961, ENSMUSG00000006024, ENSMUSG00000031144, ENSMUSG00000041439, ENSMUSG00000048076, ENSMUSG00000031149, ENSMUSG00000045180, ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000039347, ENSMUSG00000010803, ENSMUSG00000019194, ENSMUSG00000027575, ENSMUSG00000034958, ENSMUSG00000017740, ENSMUSG00000025531, ENSMUSG00000023912, ENSMUSG00000022342, ENSMUSG00000056185, ENSMUSG00000003452, ENSMUSG00000025326, ENSMUSG00000021288, ENSMUSG00000000605, ENSMUSG00000032101, ENSMUSG00000026904, ENSMUSG00000023017, ENSMUSG00000041216, ENSMUSG00000022905, ENSMUSG00000002319, ENSMUSG00000056073, ENSMUSG00000035864, ENSMUSG00000031633, ENSMUSG00000068923, ENSMUSG00000028246, ENSMUSG00000025968, ENSMUSG00000029434, ENSMUSG00000029518, ENSMUSG00000041771, ENSMUSG00000059149, ENSMUSG00000030731, ENSMUSG00000021820, ENSMUSG00000036760, ENSMUSG00000001985, ENSMUSG00000049044, ENSMUSG00000020483, ENSMUSG00000021732, ENSMUSG00000021062, ENSMUSG00000030058, ENSMUSG00000019146, ENSMUSG00000032570, ENSMUSG00000024957, ENSMUSG00000046822, ENSMUSG00000040896, ENSMUSG00000022054, ENSMUSG00000015342, ENSMUSG00000033419, ENSMUSG00000025189, ENSMUSG00000030327, ENSMUSG00000029608, ENSMUSG00000022199, ENSMUSG00000040543, ENSMUSG00000022829, ENSMUSG00000046314, ENSMUSG00000024581, ENSMUSG00000038486, ENSMUSG00000041794, ENSMUSG00000025428, ENSMUSG00000025986, ENSMUSG00000029212, ENSMUSG00000035226, ENSMUSG00000022415, ENSMUSG00000028969, ENSMUSG00000018661, ENSMUSG00000036225, ENSMUSG00000031988, ENSMUSG00000003731, ENSMUSG00000028251, ENSMUSG00000017781, ENSMUSG00000031840, ENSMUSG00000022812, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000026959, ENSMUSG00000050144, ENSMUSG00000037341, ENSMUSG00000076432, ENSMUSG00000028456, ENSMUSG00000028550, ENSMUSG00000050556, ENSMUSG00000019210, ENSMUSG00000020745, ENSMUSG00000040722, ENSMUSG00000034863, ENSMUSG00000024924, ENSMUSG00000032549, ENSMUSG00000026576, ENSMUSG00000017670, ENSMUSG00000020740, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000020435, ENSMUSG00000026470, ENSMUSG00000024012, ENSMUSG00000029088, ENSMUSG00000015291, ENSMUSG00000009090, ENSMUSG00000022607, ENSMUSG00000034723, ENSMUSG00000036578, ENSMUSG00000030806, ENSMUSG00000029467, ENSMUSG00000022295, ENSMUSG00000024851, ENSMUSG00000013160, ENSMUSG00000029462, ENSMUSG00000037428, ENSMUSG00000064370, ENSMUSG00000030704, ENSMUSG00000068747, ENSMUSG00000032536, ENSMUSG00000024120, ENSMUSG00000052026, ENSMUSG00000030605, ENSMUSG00000051401, ENSMUSG00000005225, ENSMUSG00000049252, ENSMUSG00000026797, ENSMUSG00000059316, ENSMUSG00000021700, ENSMUSG00000024743, ENSMUSG00000064363, ENSMUSG00000036989, ENSMUSG00000064367, ENSMUSG00000050963, ENSMUSG00000028080, ENSMUSG00000044216, ENSMUSG00000046876, ENSMUSG00000020315, ENSMUSG00000037646, ENSMUSG00000038026, ENSMUSG00000061601, ENSMUSG00000051726, ENSMUSG00000054423, ENSMUSG00000031889, ENSMUSG00000003872, ENSMUSG00000021991, ENSMUSG00000063694, ENSMUSG00000030302, ENSMUSG00000026463, ENSMUSG00000017686, ENSMUSG00000029054, ENSMUSG00000070561, ENSMUSG00000004771	717	1803	9091	1.4838132014595231	3.4485389666105704E-7	1.724269631520059E-7	2.5156307037477177E-7
GOTERM_BP_FAT	GO:0007267~cell-cell signaling	45	4.495504495504496	6.691337854383573E-10	ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000048482, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000022594, ENSMUSG00000017740, ENSMUSG00000031393, ENSMUSG00000042429, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000049044, ENSMUSG00000028969, ENSMUSG00000061601, ENSMUSG00000030806, ENSMUSG00000021732, ENSMUSG00000045103, ENSMUSG00000031144, ENSMUSG00000003872, ENSMUSG00000020402, ENSMUSG00000037428, ENSMUSG00000021448, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000039953, ENSMUSG00000031633, ENSMUSG00000029608, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	684	207	8692	2.7625222476481057	1.5262929158321725E-6	7.631467491275856E-7	1.1681124734153059E-6
GOTERM_BP_ALL	GO:0006810~transport	207	20.67932067932068	6.824110686786964E-10	ENSMUSG00000040441, ENSMUSG00000004319, ENSMUSG00000018196, ENSMUSG00000024261, ENSMUSG00000064341, ENSMUSG00000031393, ENSMUSG00000020261, ENSMUSG00000066392, ENSMUSG00000046480, ENSMUSG00000031791, ENSMUSG00000053395, ENSMUSG00000025212, ENSMUSG00000033161, ENSMUSG00000002908, ENSMUSG00000033769, ENSMUSG00000020402, ENSMUSG00000025607, ENSMUSG00000031105, ENSMUSG00000007653, ENSMUSG00000038301, ENSMUSG00000025393, ENSMUSG00000031242, ENSMUSG00000017639, ENSMUSG00000023236, ENSMUSG00000036955, ENSMUSG00000059742, ENSMUSG00000037032, ENSMUSG00000040907, ENSMUSG00000037685, ENSMUSG00000070304, ENSMUSG00000042429, ENSMUSG00000006273, ENSMUSG00000052726, ENSMUSG00000021687, ENSMUSG00000027130, ENSMUSG00000001036, ENSMUSG00000000531, ENSMUSG00000003153, ENSMUSG00000033287, ENSMUSG00000019785, ENSMUSG00000066189, ENSMUSG00000031672, ENSMUSG00000047126, ENSMUSG00000036298, ENSMUSG00000027894, ENSMUSG00000006576, ENSMUSG00000024109, ENSMUSG00000063077, ENSMUSG00000027010, ENSMUSG00000048482, ENSMUSG00000030685, ENSMUSG00000034973, ENSMUSG00000038453, ENSMUSG00000012535, ENSMUSG00000037996, ENSMUSG00000001576, ENSMUSG00000004961, ENSMUSG00000006024, ENSMUSG00000031144, ENSMUSG00000041439, ENSMUSG00000048076, ENSMUSG00000031149, ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000039347, ENSMUSG00000010803, ENSMUSG00000019194, ENSMUSG00000027575, ENSMUSG00000034958, ENSMUSG00000017740, ENSMUSG00000025531, ENSMUSG00000023912, ENSMUSG00000022342, ENSMUSG00000056185, ENSMUSG00000003452, ENSMUSG00000025326, ENSMUSG00000021288, ENSMUSG00000000605, ENSMUSG00000032101, ENSMUSG00000026904, ENSMUSG00000023017, ENSMUSG00000041216, ENSMUSG00000022905, ENSMUSG00000002319, ENSMUSG00000056073, ENSMUSG00000035864, ENSMUSG00000031633, ENSMUSG00000068923, ENSMUSG00000028246, ENSMUSG00000025968, ENSMUSG00000029434, ENSMUSG00000029518, ENSMUSG00000041771, ENSMUSG00000059149, ENSMUSG00000030731, ENSMUSG00000021820, ENSMUSG00000036760, ENSMUSG00000001985, ENSMUSG00000049044, ENSMUSG00000020483, ENSMUSG00000021732, ENSMUSG00000021062, ENSMUSG00000030058, ENSMUSG00000019146, ENSMUSG00000032570, ENSMUSG00000024957, ENSMUSG00000046822, ENSMUSG00000040896, ENSMUSG00000022054, ENSMUSG00000015342, ENSMUSG00000033419, ENSMUSG00000025189, ENSMUSG00000030327, ENSMUSG00000029608, ENSMUSG00000022199, ENSMUSG00000040543, ENSMUSG00000022829, ENSMUSG00000046314, ENSMUSG00000024581, ENSMUSG00000038486, ENSMUSG00000041794, ENSMUSG00000025428, ENSMUSG00000025986, ENSMUSG00000029212, ENSMUSG00000035226, ENSMUSG00000022415, ENSMUSG00000028969, ENSMUSG00000018661, ENSMUSG00000036225, ENSMUSG00000031988, ENSMUSG00000003731, ENSMUSG00000017781, ENSMUSG00000028251, ENSMUSG00000031840, ENSMUSG00000022812, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000026959, ENSMUSG00000050144, ENSMUSG00000037341, ENSMUSG00000076432, ENSMUSG00000028456, ENSMUSG00000028550, ENSMUSG00000050556, ENSMUSG00000019210, ENSMUSG00000020745, ENSMUSG00000040722, ENSMUSG00000034863, ENSMUSG00000024924, ENSMUSG00000032549, ENSMUSG00000026576, ENSMUSG00000017670, ENSMUSG00000020740, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000020435, ENSMUSG00000026470, ENSMUSG00000024012, ENSMUSG00000029088, ENSMUSG00000015291, ENSMUSG00000009090, ENSMUSG00000034723, ENSMUSG00000036578, ENSMUSG00000030806, ENSMUSG00000029467, ENSMUSG00000022295, ENSMUSG00000024851, ENSMUSG00000013160, ENSMUSG00000029462, ENSMUSG00000037428, ENSMUSG00000064370, ENSMUSG00000030704, ENSMUSG00000068747, ENSMUSG00000032536, ENSMUSG00000024120, ENSMUSG00000052026, ENSMUSG00000030605, ENSMUSG00000051401, ENSMUSG00000005225, ENSMUSG00000049252, ENSMUSG00000026797, ENSMUSG00000059316, ENSMUSG00000021700, ENSMUSG00000024743, ENSMUSG00000064363, ENSMUSG00000036989, ENSMUSG00000064367, ENSMUSG00000050963, ENSMUSG00000028080, ENSMUSG00000044216, ENSMUSG00000046876, ENSMUSG00000020315, ENSMUSG00000037646, ENSMUSG00000038026, ENSMUSG00000061601, ENSMUSG00000051726, ENSMUSG00000054423, ENSMUSG00000031889, ENSMUSG00000003872, ENSMUSG00000021991, ENSMUSG00000063694, ENSMUSG00000030302, ENSMUSG00000026463, ENSMUSG00000017686, ENSMUSG00000029054, ENSMUSG00000070561, ENSMUSG00000004771	717	1789	9091	1.467075643577324	1.643244378346509E-6	5.477484261717791E-7	1.1987101422583635E-6
GOTERM_BP_ALL	GO:0007267~cell-cell signaling	45	4.495504495504496	7.406259266703406E-10	ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000048482, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000022594, ENSMUSG00000017740, ENSMUSG00000031393, ENSMUSG00000042429, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000049044, ENSMUSG00000028969, ENSMUSG00000061601, ENSMUSG00000030806, ENSMUSG00000021732, ENSMUSG00000045103, ENSMUSG00000031144, ENSMUSG00000003872, ENSMUSG00000020402, ENSMUSG00000037428, ENSMUSG00000021448, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000039953, ENSMUSG00000031633, ENSMUSG00000029608, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	717	207	9091	2.7563519495482383	1.783425563006702E-6	4.4585668890206875E-7	1.3009692767518288E-6
GOTERM_BP_FAT	GO:0019226~transmission of nerve impulse	43	4.295704295704296	9.150057950664579E-10	ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000022594, ENSMUSG00000017740, ENSMUSG00000031393, ENSMUSG00000042429, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000050947, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000028969, ENSMUSG00000061601, ENSMUSG00000030806, ENSMUSG00000045103, ENSMUSG00000019146, ENSMUSG00000031144, ENSMUSG00000003872, ENSMUSG00000020402, ENSMUSG00000021448, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000039953, ENSMUSG00000031633, ENSMUSG00000029608, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	684	194	8692	2.8166335081690477	2.087126164118658E-6	6.957092053561098E-7	1.5973334877017464E-6
GOTERM_BP_ALL	GO:0019226~transmission of nerve impulse	43	4.295704295704296	1.0078922088739713E-9	ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000022594, ENSMUSG00000017740, ENSMUSG00000031393, ENSMUSG00000042429, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000017412, ENSMUSG00000050947, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000028969, ENSMUSG00000061601, ENSMUSG00000030806, ENSMUSG00000045103, ENSMUSG00000019146, ENSMUSG00000031144, ENSMUSG00000003872, ENSMUSG00000020402, ENSMUSG00000021448, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000039953, ENSMUSG00000031633, ENSMUSG00000029608, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	717	194	9091	2.810342348560008	2.4270015076544027E-6	4.8540077279835E-7	1.7704441801491555E-6
GOTERM_BP_ALL	GO:0051179~localization	226	22.577422577422578	1.300475720534384E-9	ENSMUSG00000040441, ENSMUSG00000004319, ENSMUSG00000018196, ENSMUSG00000024261, ENSMUSG00000022783, ENSMUSG00000064341, ENSMUSG00000031393, ENSMUSG00000020261, ENSMUSG00000066392, ENSMUSG00000046480, ENSMUSG00000031791, ENSMUSG00000053395, ENSMUSG00000025212, ENSMUSG00000033161, ENSMUSG00000002908, ENSMUSG00000033769, ENSMUSG00000020402, ENSMUSG00000025607, ENSMUSG00000019769, ENSMUSG00000031105, ENSMUSG00000007653, ENSMUSG00000038301, ENSMUSG00000025393, ENSMUSG00000031242, ENSMUSG00000017639, ENSMUSG00000026640, ENSMUSG00000023236, ENSMUSG00000036955, ENSMUSG00000059742, ENSMUSG00000037032, ENSMUSG00000040907, ENSMUSG00000037685, ENSMUSG00000070304, ENSMUSG00000042429, ENSMUSG00000006273, ENSMUSG00000052726, ENSMUSG00000021687, ENSMUSG00000063063, ENSMUSG00000027130, ENSMUSG00000001036, ENSMUSG00000000531, ENSMUSG00000003153, ENSMUSG00000033287, ENSMUSG00000019785, ENSMUSG00000066189, ENSMUSG00000026490, ENSMUSG00000031672, ENSMUSG00000047126, ENSMUSG00000036298, ENSMUSG00000027894, ENSMUSG00000031778, ENSMUSG00000006576, ENSMUSG00000024109, ENSMUSG00000063077, ENSMUSG00000027010, ENSMUSG00000048482, ENSMUSG00000030685, ENSMUSG00000017485, ENSMUSG00000034973, ENSMUSG00000038453, ENSMUSG00000012535, ENSMUSG00000037996, ENSMUSG00000001576, ENSMUSG00000020220, ENSMUSG00000004961, ENSMUSG00000006024, ENSMUSG00000031144, ENSMUSG00000027009, ENSMUSG00000041439, ENSMUSG00000048076, ENSMUSG00000031149, ENSMUSG00000045180, ENSMUSG00000024897, ENSMUSG00000034593, ENSMUSG00000039347, ENSMUSG00000010803, ENSMUSG00000019194, ENSMUSG00000027575, ENSMUSG00000028410, ENSMUSG00000034958, ENSMUSG00000017740, ENSMUSG00000025531, ENSMUSG00000023912, ENSMUSG00000022342, ENSMUSG00000056185, ENSMUSG00000003452, ENSMUSG00000025326, ENSMUSG00000021288, ENSMUSG00000000605, ENSMUSG00000032101, ENSMUSG00000026904, ENSMUSG00000023017, ENSMUSG00000022905, ENSMUSG00000041216, ENSMUSG00000002319, ENSMUSG00000027797, ENSMUSG00000056073, ENSMUSG00000035863, ENSMUSG00000035864, ENSMUSG00000031633, ENSMUSG00000068923, ENSMUSG00000028246, ENSMUSG00000025968, ENSMUSG00000029434, ENSMUSG00000029518, ENSMUSG00000041771, ENSMUSG00000059149, ENSMUSG00000030731, ENSMUSG00000021820, ENSMUSG00000036760, ENSMUSG00000001985, ENSMUSG00000049044, ENSMUSG00000020483, ENSMUSG00000021732, ENSMUSG00000021062, ENSMUSG00000030058, ENSMUSG00000019146, ENSMUSG00000032570, ENSMUSG00000024957, ENSMUSG00000046822, ENSMUSG00000040896, ENSMUSG00000022054, ENSMUSG00000015342, ENSMUSG00000033419, ENSMUSG00000025189, ENSMUSG00000030327, ENSMUSG00000029608, ENSMUSG00000022199, ENSMUSG00000040543, ENSMUSG00000022829, ENSMUSG00000046314, ENSMUSG00000024581, ENSMUSG00000038486, ENSMUSG00000041794, ENSMUSG00000023951, ENSMUSG00000025428, ENSMUSG00000005871, ENSMUSG00000025986, ENSMUSG00000026826, ENSMUSG00000029212, ENSMUSG00000035226, ENSMUSG00000022415, ENSMUSG00000028969, ENSMUSG00000018661, ENSMUSG00000036225, ENSMUSG00000031988, ENSMUSG00000003731, ENSMUSG00000028251, ENSMUSG00000017781, ENSMUSG00000031840, ENSMUSG00000022812, ENSMUSG00000020894, ENSMUSG00000027950, ENSMUSG00000026959, ENSMUSG00000050144, ENSMUSG00000032826, ENSMUSG00000037341, ENSMUSG00000076432, ENSMUSG00000028456, ENSMUSG00000028550, ENSMUSG00000050556, ENSMUSG00000019210, ENSMUSG00000020745, ENSMUSG00000040722, ENSMUSG00000034863, ENSMUSG00000024924, ENSMUSG00000032549, ENSMUSG00000026576, ENSMUSG00000017670, ENSMUSG00000020740, ENSMUSG00000020436, ENSMUSG00000020435, ENSMUSG00000017412, ENSMUSG00000026470, ENSMUSG00000024012, ENSMUSG00000029088, ENSMUSG00000015291, ENSMUSG00000009090, ENSMUSG00000022607, ENSMUSG00000036578, ENSMUSG00000034723, ENSMUSG00000030806, ENSMUSG00000029467, ENSMUSG00000022295, ENSMUSG00000024851, ENSMUSG00000013160, ENSMUSG00000029462, ENSMUSG00000037428, ENSMUSG00000064370, ENSMUSG00000030704, ENSMUSG00000068747, ENSMUSG00000032536, ENSMUSG00000024120, ENSMUSG00000052026, ENSMUSG00000055805, ENSMUSG00000030605, ENSMUSG00000051401, ENSMUSG00000005225, ENSMUSG00000049252, ENSMUSG00000026797, ENSMUSG00000059316, ENSMUSG00000021700, ENSMUSG00000024743, ENSMUSG00000064363, ENSMUSG00000036989, ENSMUSG00000064367, ENSMUSG00000050963, ENSMUSG00000028080, ENSMUSG00000044216, ENSMUSG00000046876, ENSMUSG00000020315, ENSMUSG00000037646, ENSMUSG00000038026, ENSMUSG00000061601, ENSMUSG00000051726, ENSMUSG00000054423, ENSMUSG00000031889, ENSMUSG00000003872, ENSMUSG00000021991, ENSMUSG00000063694, ENSMUSG00000030302, ENSMUSG00000026463, ENSMUSG00000017686, ENSMUSG00000029054, ENSMUSG00000070561, ENSMUSG00000004771	717	2014	9091	1.4227921979892495	3.131540649570219E-6	5.219241225873361E-7	2.2843907765413007E-6
GOTERM_BP_FAT	GO:0050877~neurological system process	62	6.193806193806194	5.126561261269509E-9	ENSMUSG00000052613, ENSMUSG00000005371, ENSMUSG00000025855, ENSMUSG00000048482, ENSMUSG00000033730, ENSMUSG00000020745, ENSMUSG00000024261, ENSMUSG00000036437, ENSMUSG00000022594, ENSMUSG00000020431, ENSMUSG00000031393, ENSMUSG00000056755, ENSMUSG00000020436, ENSMUSG00000027254, ENSMUSG00000017412, ENSMUSG00000050947, ENSMUSG00000037996, ENSMUSG00000022607, ENSMUSG00000066392, ENSMUSG00000030806, ENSMUSG00000045103, ENSMUSG00000019146, ENSMUSG00000031144, ENSMUSG00000034586, ENSMUSG00000020402, ENSMUSG00000002997, ENSMUSG00000021448, ENSMUSG00000022055, ENSMUSG00000039953, ENSMUSG00000029608, ENSMUSG00000024897, ENSMUSG00000026080, ENSMUSG00000039488, ENSMUSG00000034593, ENSMUSG00000034997, ENSMUSG00000037032, ENSMUSG00000040907, ENSMUSG00000038486, ENSMUSG00000035936, ENSMUSG00000026797, ENSMUSG00000026103, ENSMUSG00000017740, ENSMUSG00000042429, ENSMUSG00000046876, ENSMUSG00000063063, ENSMUSG00000061601, ENSMUSG00000028969, ENSMUSG00000022489, ENSMUSG00000003872, ENSMUSG00000023017, ENSMUSG00000031840, ENSMUSG00000020894, ENSMUSG00000030302, ENSMUSG00000027950, ENSMUSG00000056073, ENSMUSG00000026959, ENSMUSG00000035864, ENSMUSG00000031633, ENSMUSG00000063077, ENSMUSG00000024109, ENSMUSG00000029054, ENSMUSG00000028456	684	360	8692	2.1885315139701103	1.1693617953834057E-5	2.9234173080094905E-6	8.94948133378648E-6
