Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0002376~immune system process	93	11.96911196911197	3.12291147873846E-23	ENSMUSG00000024778, ENSMUSG00000021109, ENSMUSG00000002603, ENSMUSG00000024927, ENSMUSG00000079547, ENSMUSG00000052776, ENSMUSG00000004266, ENSMUSG00000006356, ENSMUSG00000026321, ENSMUSG00000053175, ENSMUSG00000022952, ENSMUSG00000035673, ENSMUSG00000079227, ENSMUSG00000073421, ENSMUSG00000052593, ENSMUSG00000057948, ENSMUSG00000029468, ENSMUSG00000022443, ENSMUSG00000026928, ENSMUSG00000079362, ENSMUSG00000040751, ENSMUSG00000030748, ENSMUSG00000022831, ENSMUSG00000022216, ENSMUSG00000036905, ENSMUSG00000024098, ENSMUSG00000036896, ENSMUSG00000031103, ENSMUSG00000029591, ENSMUSG00000062960, ENSMUSG00000058715, ENSMUSG00000057058, ENSMUSG00000021583, ENSMUSG00000026029, ENSMUSG00000027506, ENSMUSG00000066861, ENSMUSG00000031838, ENSMUSG00000034330, ENSMUSG00000027508, ENSMUSG00000001280, ENSMUSG00000028413, ENSMUSG00000025225, ENSMUSG00000028268, ENSMUSG00000015947, ENSMUSG00000022148, ENSMUSG00000062593, ENSMUSG00000000562, ENSMUSG00000029298, ENSMUSG00000060550, ENSMUSG00000061232, ENSMUSG00000036918, ENSMUSG00000024349, ENSMUSG00000043008, ENSMUSG00000036594, ENSMUSG00000038213, ENSMUSG00000031628, ENSMUSG00000022105, ENSMUSG00000048163, ENSMUSG00000061132, ENSMUSG00000028270, ENSMUSG00000027639, ENSMUSG00000041515, ENSMUSG00000031805, ENSMUSG00000042228, ENSMUSG00000034165, ENSMUSG00000073409, ENSMUSG00000047798, ENSMUSG00000037846, ENSMUSG00000002111, ENSMUSG00000021423, ENSMUSG00000053835, ENSMUSG00000035929, ENSMUSG00000034116, ENSMUSG00000000751, ENSMUSG00000067212, ENSMUSG00000078153, ENSMUSG00000079197, ENSMUSG00000027995, ENSMUSG00000000290, ENSMUSG00000024339, ENSMUSG00000024338, ENSMUSG00000032691, ENSMUSG00000032690, ENSMUSG00000028191, ENSMUSG00000045322, ENSMUSG00000073411, ENSMUSG00000047123, ENSMUSG00000031639, ENSMUSG00000055172, ENSMUSG00000078922, ENSMUSG00000021998, ENSMUSG00000039304, ENSMUSG00000015950, ENSMUSG00000060802, ENSMUSG00000040264	587	470	9091	3.0644930950741243	7.963424270783073E-20	7.963424270783073E-20	5.521545973515893E-20
GOTERM_BP_FAT	GO:0006955~immune response	61	7.850707850707852	1.4845433871480977E-20	ENSMUSG00000024778, ENSMUSG00000002603, ENSMUSG00000079547, ENSMUSG00000052776, ENSMUSG00000004266, ENSMUSG00000053175, ENSMUSG00000035673, ENSMUSG00000079227, ENSMUSG00000073421, ENSMUSG00000052593, ENSMUSG00000057948, ENSMUSG00000026928, ENSMUSG00000079362, ENSMUSG00000030748, ENSMUSG00000040751, ENSMUSG00000036905, ENSMUSG00000036896, ENSMUSG00000029591, ENSMUSG00000058715, ENSMUSG00000057058, ENSMUSG00000021583, ENSMUSG00000066861, ENSMUSG00000034330, ENSMUSG00000027508, ENSMUSG00000025225, ENSMUSG00000028268, ENSMUSG00000015947, ENSMUSG00000062593, ENSMUSG00000000562, ENSMUSG00000029298, ENSMUSG00000060550, ENSMUSG00000061232, ENSMUSG00000024349, ENSMUSG00000036594, ENSMUSG00000043008, ENSMUSG00000028270, ENSMUSG00000027639, ENSMUSG00000041515, ENSMUSG00000073409, ENSMUSG00000047798, ENSMUSG00000021423, ENSMUSG00000053835, ENSMUSG00000034116, ENSMUSG00000035929, ENSMUSG00000067212, ENSMUSG00000027995, ENSMUSG00000024339, ENSMUSG00000024338, ENSMUSG00000032691, ENSMUSG00000032690, ENSMUSG00000028191, ENSMUSG00000045322, ENSMUSG00000047123, ENSMUSG00000073411, ENSMUSG00000031639, ENSMUSG00000055172, ENSMUSG00000078922, ENSMUSG00000021998, ENSMUSG00000039304, ENSMUSG00000015950, ENSMUSG00000040264, ENSMUSG00000060802	561	243	8692	3.889380368683201	3.5896259101241006E-17	3.5896259101241006E-17	2.608954960027279E-17
GOTERM_BP_ALL	GO:0006955~immune response	61	7.850707850707852	1.6645527102938615E-20	ENSMUSG00000024778, ENSMUSG00000002603, ENSMUSG00000079547, ENSMUSG00000052776, ENSMUSG00000004266, ENSMUSG00000053175, ENSMUSG00000035673, ENSMUSG00000079227, ENSMUSG00000073421, ENSMUSG00000052593, ENSMUSG00000057948, ENSMUSG00000026928, ENSMUSG00000079362, ENSMUSG00000030748, ENSMUSG00000040751, ENSMUSG00000036905, ENSMUSG00000036896, ENSMUSG00000029591, ENSMUSG00000058715, ENSMUSG00000057058, ENSMUSG00000021583, ENSMUSG00000066861, ENSMUSG00000034330, ENSMUSG00000027508, ENSMUSG00000025225, ENSMUSG00000028268, ENSMUSG00000015947, ENSMUSG00000062593, ENSMUSG00000000562, ENSMUSG00000029298, ENSMUSG00000060550, ENSMUSG00000061232, ENSMUSG00000024349, ENSMUSG00000036594, ENSMUSG00000043008, ENSMUSG00000028270, ENSMUSG00000027639, ENSMUSG00000041515, ENSMUSG00000073409, ENSMUSG00000047798, ENSMUSG00000021423, ENSMUSG00000053835, ENSMUSG00000034116, ENSMUSG00000035929, ENSMUSG00000067212, ENSMUSG00000027995, ENSMUSG00000024339, ENSMUSG00000024338, ENSMUSG00000032691, ENSMUSG00000032690, ENSMUSG00000028191, ENSMUSG00000045322, ENSMUSG00000047123, ENSMUSG00000073411, ENSMUSG00000031639, ENSMUSG00000055172, ENSMUSG00000078922, ENSMUSG00000021998, ENSMUSG00000039304, ENSMUSG00000015950, ENSMUSG00000040264, ENSMUSG00000060802	587	243	9091	3.8877391493329405	4.244609411249347E-17	2.1223047056246734E-17	2.9430563042859034E-17
GOTERM_BP_FAT	GO:0006952~defense response	49	6.306306306306306	4.009791319879568E-15	ENSMUSG00000021109, ENSMUSG00000002603, ENSMUSG00000024927, ENSMUSG00000004266, ENSMUSG00000042286, ENSMUSG00000007039, ENSMUSG00000053175, ENSMUSG00000079227, ENSMUSG00000031827, ENSMUSG00000057948, ENSMUSG00000029468, ENSMUSG00000070390, ENSMUSG00000026928, ENSMUSG00000036905, ENSMUSG00000036896, ENSMUSG00000058715, ENSMUSG00000004040, ENSMUSG00000062585, ENSMUSG00000022040, ENSMUSG00000028413, ENSMUSG00000015947, ENSMUSG00000000562, ENSMUSG00000060550, ENSMUSG00000061232, ENSMUSG00000024349, ENSMUSG00000036594, ENSMUSG00000027639, ENSMUSG00000041515, ENSMUSG00000073409, ENSMUSG00000005087, ENSMUSG00000030793, ENSMUSG00000021423, ENSMUSG00000030341, ENSMUSG00000027995, ENSMUSG00000000290, ENSMUSG00000032691, ENSMUSG00000028191, ENSMUSG00000045322, ENSMUSG00000047123, ENSMUSG00000073411, ENSMUSG00000038224, ENSMUSG00000031639, ENSMUSG00000003283, ENSMUSG00000055172, ENSMUSG00000078920, ENSMUSG00000038058, ENSMUSG00000007041, ENSMUSG00000009281, ENSMUSG00000060802, ENSMUSG00000015950	561	210	8692	3.615210932857992	9.664269384757063E-12	4.832134692378531E-12	7.027711745877241E-12
GOTERM_BP_ALL	GO:0006952~defense response	49	6.306306306306306	4.242092209597504E-15	ENSMUSG00000021109, ENSMUSG00000002603, ENSMUSG00000024927, ENSMUSG00000004266, ENSMUSG00000042286, ENSMUSG00000007039, ENSMUSG00000053175, ENSMUSG00000079227, ENSMUSG00000031827, ENSMUSG00000057948, ENSMUSG00000029468, ENSMUSG00000070390, ENSMUSG00000026928, ENSMUSG00000036905, ENSMUSG00000036896, ENSMUSG00000058715, ENSMUSG00000004040, ENSMUSG00000062585, ENSMUSG00000022040, ENSMUSG00000028413, ENSMUSG00000015947, ENSMUSG00000000562, ENSMUSG00000060550, ENSMUSG00000061232, ENSMUSG00000024349, ENSMUSG00000036594, ENSMUSG00000027639, ENSMUSG00000041515, ENSMUSG00000073409, ENSMUSG00000005087, ENSMUSG00000030793, ENSMUSG00000021423, ENSMUSG00000030341, ENSMUSG00000027995, ENSMUSG00000000290, ENSMUSG00000032691, ENSMUSG00000028191, ENSMUSG00000045322, ENSMUSG00000047123, ENSMUSG00000073411, ENSMUSG00000038224, ENSMUSG00000031639, ENSMUSG00000003283, ENSMUSG00000055172, ENSMUSG00000078920, ENSMUSG00000038058, ENSMUSG00000007041, ENSMUSG00000009281, ENSMUSG00000060802, ENSMUSG00000015950	587	210	9091	3.613685406019307	1.0758061108617767E-11	3.5860203695392556E-12	7.460698725481052E-12
GOTERM_BP_ALL	GO:0050896~response to stimulus	156	20.077220077220076	7.108117284150007E-13	ENSMUSG00000029381, ENSMUSG00000063428, ENSMUSG00000024778, ENSMUSG00000021109, ENSMUSG00000022951, ENSMUSG00000079547, ENSMUSG00000031875, ENSMUSG00000052776, ENSMUSG00000025408, ENSMUSG00000047250, ENSMUSG00000022952, ENSMUSG00000079227, ENSMUSG00000015766, ENSMUSG00000073421, ENSMUSG00000020120, ENSMUSG00000057948, ENSMUSG00000025076, ENSMUSG00000030538, ENSMUSG00000079362, ENSMUSG00000040751, ENSMUSG00000030748, ENSMUSG00000022831, ENSMUSG00000032436, ENSMUSG00000028970, ENSMUSG00000025888, ENSMUSG00000036896, ENSMUSG00000009772, ENSMUSG00000029591, ENSMUSG00000025492, ENSMUSG00000058715, ENSMUSG00000021583, ENSMUSG00000062585, ENSMUSG00000027508, ENSMUSG00000025225, ENSMUSG00000028268, ENSMUSG00000029838, ENSMUSG00000062593, ENSMUSG00000029298, ENSMUSG00000036353, ENSMUSG00000028270, ENSMUSG00000022314, ENSMUSG00000027639, ENSMUSG00000035726, ENSMUSG00000052821, ENSMUSG00000041515, ENSMUSG00000042228, ENSMUSG00000022620, ENSMUSG00000047798, ENSMUSG00000045730, ENSMUSG00000042328, ENSMUSG00000030793, ENSMUSG00000025232, ENSMUSG00000035403, ENSMUSG00000035929, ENSMUSG00000030341, ENSMUSG00000000290, ENSMUSG00000006678, ENSMUSG00000032691, ENSMUSG00000032690, ENSMUSG00000028191, ENSMUSG00000028453, ENSMUSG00000047123, ENSMUSG00000045322, ENSMUSG00000005142, ENSMUSG00000003283, ENSMUSG00000038058, ENSMUSG00000005054, ENSMUSG00000079110, ENSMUSG00000039304, ENSMUSG00000029826, ENSMUSG00000009281, ENSMUSG00000040264, ENSMUSG00000022178, ENSMUSG00000074457, ENSMUSG00000007891, ENSMUSG00000002603, ENSMUSG00000024927, ENSMUSG00000027015, ENSMUSG00000004266, ENSMUSG00000042286, ENSMUSG00000031740, ENSMUSG00000040681, ENSMUSG00000029545, ENSMUSG00000007039, ENSMUSG00000021665, ENSMUSG00000053175, ENSMUSG00000035673, ENSMUSG00000006567, ENSMUSG00000031827, ENSMUSG00000021871, ENSMUSG00000052593, ENSMUSG00000031490, ENSMUSG00000070390, ENSMUSG00000029468, ENSMUSG00000026928, ENSMUSG00000018920, ENSMUSG00000015396, ENSMUSG00000036905, ENSMUSG00000025745, ENSMUSG00000072115, ENSMUSG00000033220, ENSMUSG00000024513, ENSMUSG00000004040, ENSMUSG00000057058, ENSMUSG00000030671, ENSMUSG00000066861, ENSMUSG00000034330, ENSMUSG00000022040, ENSMUSG00000021010, ENSMUSG00000022568, ENSMUSG00000028413, ENSMUSG00000015947, ENSMUSG00000000562, ENSMUSG00000024943, ENSMUSG00000060550, ENSMUSG00000041741, ENSMUSG00000061232, ENSMUSG00000024349, ENSMUSG00000043008, ENSMUSG00000036594, ENSMUSG00000031628, ENSMUSG00000008398, ENSMUSG00000014418, ENSMUSG00000022766, ENSMUSG00000020593, ENSMUSG00000004056, ENSMUSG00000073409, ENSMUSG00000022346, ENSMUSG00000005087, ENSMUSG00000021423, ENSMUSG00000053835, ENSMUSG00000073489, ENSMUSG00000034116, ENSMUSG00000000957, ENSMUSG00000032245, ENSMUSG00000067212, ENSMUSG00000030750, ENSMUSG00000030104, ENSMUSG00000047557, ENSMUSG00000000751, ENSMUSG00000027995, ENSMUSG00000024339, ENSMUSG00000027852, ENSMUSG00000024338, ENSMUSG00000000555, ENSMUSG00000073411, ENSMUSG00000032556, ENSMUSG00000038224, ENSMUSG00000031639, ENSMUSG00000055172, ENSMUSG00000078920, ENSMUSG00000078922, ENSMUSG00000021998, ENSMUSG00000007041, ENSMUSG00000015950, ENSMUSG00000026048, ENSMUSG00000060802	587	1401	9091	1.7244873763811928	1.8124501899308143E-9	4.531125474827036E-10	1.2566836460337072E-9
GOTERM_BP_ALL	GO:0051707~response to other organism	31	3.9897039897039894	3.4621143803236215E-12	ENSMUSG00000015947, ENSMUSG00000002603, ENSMUSG00000024927, ENSMUSG00000060550, ENSMUSG00000052776, ENSMUSG00000042286, ENSMUSG00000061232, ENSMUSG00000053175, ENSMUSG00000027639, ENSMUSG00000041515, ENSMUSG00000073409, ENSMUSG00000079227, ENSMUSG00000031827, ENSMUSG00000057948, ENSMUSG00000029468, ENSMUSG00000026928, ENSMUSG00000030341, ENSMUSG00000027995, ENSMUSG00000024339, ENSMUSG00000032691, ENSMUSG00000028191, ENSMUSG00000045322, ENSMUSG00000047123, ENSMUSG00000003283, ENSMUSG00000031639, ENSMUSG00000038058, ENSMUSG00000078922, ENSMUSG00000058715, ENSMUSG00000029826, ENSMUSG00000034330, ENSMUSG00000060802, ENSMUSG00000015950	587	108	9091	4.445406650261846	8.828404673977275E-9	1.765680934795455E-9	6.121292361882524E-9
SP_PIR_KEYWORDS	immune response	29	3.7323037323037322	2.2602924257451512E-11	ENSMUSG00000015947, ENSMUSG00000062593, ENSMUSG00000079547, ENSMUSG00000060550, ENSMUSG00000061232, ENSMUSG00000024349, ENSMUSG00000036594, ENSMUSG00000027639, ENSMUSG00000047798, ENSMUSG00000073409, ENSMUSG00000073421, ENSMUSG00000000275, ENSMUSG00000021423, ENSMUSG00000030748, ENSMUSG00000040751, ENSMUSG00000067212, ENSMUSG00000036905, ENSMUSG00000027995, ENSMUSG00000024339, ENSMUSG00000024338, ENSMUSG00000036896, ENSMUSG00000045322, ENSMUSG00000073411, ENSMUSG00000047123, ENSMUSG00000031639, ENSMUSG00000055172, ENSMUSG00000057058, ENSMUSG00000021583, ENSMUSG00000060802, ENSMUSG00000027508	728	106	11873	4.461914264980303	8.815138619056029E-9	8.815138619056029E-9	3.141050752830665E-8
GOTERM_BP_FAT	GO:0019882~antigen processing and presentation	18	2.3166023166023164	6.03356707792724E-11	ENSMUSG00000053835, ENSMUSG00000015947, ENSMUSG00000035929, ENSMUSG00000067212, ENSMUSG00000078153, ENSMUSG00000022216, ENSMUSG00000079197, ENSMUSG00000079547, ENSMUSG00000060550, ENSMUSG00000024339, ENSMUSG00000024338, ENSMUSG00000061232, ENSMUSG00000036594, ENSMUSG00000073411, ENSMUSG00000038213, ENSMUSG00000058715, ENSMUSG00000073409, ENSMUSG00000073421, ENSMUSG00000031838, ENSMUSG00000060802	561	39	8692	7.1509666803784455	1.4589153152222423E-7	4.863051283887643E-8	1.0603458111546615E-7
GOTERM_BP_ALL	GO:0019882~antigen processing and presentation	18	2.3166023166023164	6.133344213635555E-11	ENSMUSG00000053835, ENSMUSG00000015947, ENSMUSG00000035929, ENSMUSG00000067212, ENSMUSG00000078153, ENSMUSG00000022216, ENSMUSG00000079197, ENSMUSG00000079547, ENSMUSG00000060550, ENSMUSG00000024339, ENSMUSG00000024338, ENSMUSG00000061232, ENSMUSG00000036594, ENSMUSG00000073411, ENSMUSG00000038213, ENSMUSG00000058715, ENSMUSG00000073409, ENSMUSG00000073421, ENSMUSG00000031838, ENSMUSG00000060802	587	39	9091	7.147949154763465	1.5640039707776054E-7	2.6066734548635395E-8	1.0844229958451024E-7
