Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0045202~synapse	86	7.6512455516014235	6.095626376263597E-25	ENSMUSG00000001986, ENSMUSG00000041670, ENSMUSG00000070570, ENSMUSG00000022456, ENSMUSG00000017978, ENSMUSG00000041268, ENSMUSG00000020848, ENSMUSG00000031012, ENSMUSG00000019828, ENSMUSG00000020886, ENSMUSG00000062995, ENSMUSG00000024462, ENSMUSG00000027457, ENSMUSG00000073617, ENSMUSG00000042388, ENSMUSG00000059003, ENSMUSG00000009394, ENSMUSG00000039809, ENSMUSG00000022602, ENSMUSG00000003378, ENSMUSG00000032773, ENSMUSG00000021314, ENSMUSG00000033676, ENSMUSG00000003279, ENSMUSG00000051790, ENSMUSG00000032589, ENSMUSG00000048895, ENSMUSG00000063142, ENSMUSG00000031391, ENSMUSG00000020340, ENSMUSG00000029420, ENSMUSG00000005469, ENSMUSG00000058589, ENSMUSG00000020900, ENSMUSG00000032336, ENSMUSG00000040640, ENSMUSG00000052698, ENSMUSG00000053310, ENSMUSG00000034686, ENSMUSG00000031302, ENSMUSG00000062372, ENSMUSG00000029361, ENSMUSG00000053025, ENSMUSG00000035168, ENSMUSG00000020598, ENSMUSG00000030525, ENSMUSG00000037217, ENSMUSG00000034799, ENSMUSG00000024403, ENSMUSG00000022623, ENSMUSG00000056296, ENSMUSG00000029151, ENSMUSG00000037541, ENSMUSG00000061689, ENSMUSG00000024083, ENSMUSG00000038738, ENSMUSG00000041078, ENSMUSG00000024617, ENSMUSG00000028664, ENSMUSG00000062661, ENSMUSG00000020612, ENSMUSG00000043079, ENSMUSG00000029211, ENSMUSG00000042078, ENSMUSG00000063887, ENSMUSG00000027273, ENSMUSG00000052572, ENSMUSG00000055078, ENSMUSG00000047495, ENSMUSG00000032017, ENSMUSG00000023192, ENSMUSG00000031227, ENSMUSG00000033981, ENSMUSG00000030102, ENSMUSG00000058420, ENSMUSG00000069601, ENSMUSG00000025813, ENSMUSG00000023011, ENSMUSG00000030209, ENSMUSG00000020524, ENSMUSG00000058835, ENSMUSG00000027799, ENSMUSG00000007207, ENSMUSG00000047261, ENSMUSG00000032452, ENSMUSG00000025867	729	278	7882	3.344741490758011	2.401676792247857E-22	2.401676792247857E-22	8.483513961234472E-22
GOTERM_CC_FAT	GO:0005886~plasma membrane	284	25.26690391459075	6.7437733057673E-24	ENSMUSG00000033060, ENSMUSG00000043940, ENSMUSG00000047842, ENSMUSG00000015968, ENSMUSG00000028909, ENSMUSG00000024639, ENSMUSG00000062785, ENSMUSG00000027457, ENSMUSG00000048240, ENSMUSG00000009394, ENSMUSG00000003378, ENSMUSG00000032773, ENSMUSG00000027316, ENSMUSG00000003279, ENSMUSG00000024772, ENSMUSG00000042303, ENSMUSG00000051331, ENSMUSG00000031391, ENSMUSG00000051323, ENSMUSG00000062232, ENSMUSG00000027646, ENSMUSG00000020900, ENSMUSG00000025889, ENSMUSG00000020704, ENSMUSG00000062372, ENSMUSG00000029361, ENSMUSG00000035168, ENSMUSG00000030525, ENSMUSG00000027748, ENSMUSG00000022623, ENSMUSG00000009075, ENSMUSG00000075318, ENSMUSG00000029765, ENSMUSG00000025221, ENSMUSG00000019790, ENSMUSG00000079499, ENSMUSG00000054640, ENSMUSG00000037541, ENSMUSG00000019894, ENSMUSG00000054843, ENSMUSG00000041078, ENSMUSG00000024617, ENSMUSG00000003352, ENSMUSG00000004113, ENSMUSG00000055319, ENSMUSG00000056258, ENSMUSG00000043557, ENSMUSG00000042078, ENSMUSG00000027335, ENSMUSG00000032925, ENSMUSG00000004110, ENSMUSG00000059456, ENSMUSG00000054934, ENSMUSG00000036422, ENSMUSG00000022791, ENSMUSG00000031673, ENSMUSG00000045318, ENSMUSG00000026768, ENSMUSG00000058835, ENSMUSG00000027220, ENSMUSG00000006476, ENSMUSG00000025370, ENSMUSG00000020135, ENSMUSG00000074575, ENSMUSG00000016346, ENSMUSG00000025658, ENSMUSG00000021662, ENSMUSG00000031012, ENSMUSG00000019877, ENSMUSG00000022883, ENSMUSG00000055723, ENSMUSG00000044067, ENSMUSG00000028289, ENSMUSG00000051375, ENSMUSG00000039809, ENSMUSG00000047904, ENSMUSG00000000416, ENSMUSG00000033676, ENSMUSG00000041014, ENSMUSG00000048895, ENSMUSG00000063142, ENSMUSG00000005580, ENSMUSG00000027002, ENSMUSG00000039713, ENSMUSG00000035152, ENSMUSG00000049336, ENSMUSG00000015733, ENSMUSG00000024091, ENSMUSG00000021373, ENSMUSG00000038764, ENSMUSG00000043463, ENSMUSG00000031202, ENSMUSG00000040479, ENSMUSG00000034686, ENSMUSG00000028126, ENSMUSG00000045287, ENSMUSG00000021910, ENSMUSG00000020651, ENSMUSG00000025876, ENSMUSG00000044933, ENSMUSG00000054889, ENSMUSG00000002957, ENSMUSG00000034799, ENSMUSG00000018322, ENSMUSG00000029151, ENSMUSG00000024083, ENSMUSG00000036510, ENSMUSG00000042604, ENSMUSG00000016763, ENSMUSG00000025468, ENSMUSG00000062661, ENSMUSG00000057738, ENSMUSG00000043079, ENSMUSG00000039057, ENSMUSG00000057230, ENSMUSG00000027273, ENSMUSG00000025272, ENSMUSG00000038831, ENSMUSG00000031539, ENSMUSG00000031227, ENSMUSG00000033981, ENSMUSG00000023011, ENSMUSG00000048216, ENSMUSG00000020524, ENSMUSG00000028004, ENSMUSG00000027799, ENSMUSG00000024479, ENSMUSG00000047261, ENSMUSG00000036825, ENSMUSG00000006435, ENSMUSG00000050505, ENSMUSG00000041957, ENSMUSG00000026527, ENSMUSG00000001986, ENSMUSG00000021721, ENSMUSG00000005338, ENSMUSG00000028053, ENSMUSG00000041670, ENSMUSG00000022456, ENSMUSG00000041268, ENSMUSG00000059146, ENSMUSG00000040136, ENSMUSG00000018634, ENSMUSG00000019828, ENSMUSG00000055761, ENSMUSG00000029436, ENSMUSG00000020886, ENSMUSG00000062995, ENSMUSG00000024462, ENSMUSG00000032839, ENSMUSG00000006711, ENSMUSG00000026322, ENSMUSG00000042388, ENSMUSG00000022841, ENSMUSG00000020882, ENSMUSG00000028782, ENSMUSG00000021314, ENSMUSG00000030084, ENSMUSG00000035203, ENSMUSG00000027584, ENSMUSG00000032589, ENSMUSG00000021061, ENSMUSG00000046523, ENSMUSG00000045053, ENSMUSG00000026834, ENSMUSG00000052459, ENSMUSG00000029420, ENSMUSG00000005469, ENSMUSG00000024065, ENSMUSG00000040640, ENSMUSG00000023033, ENSMUSG00000053310, ENSMUSG00000020580, ENSMUSG00000062444, ENSMUSG00000030077, ENSMUSG00000024163, ENSMUSG00000025318, ENSMUSG00000037217, ENSMUSG00000020198, ENSMUSG00000036095, ENSMUSG00000028033, ENSMUSG00000045733, ENSMUSG00000040118, ENSMUSG00000038485, ENSMUSG00000022577, ENSMUSG00000005672, ENSMUSG00000015476, ENSMUSG00000028664, ENSMUSG00000025170, ENSMUSG00000039114, ENSMUSG00000029211, ENSMUSG00000026824, ENSMUSG00000026204, ENSMUSG00000022421, ENSMUSG00000055078, ENSMUSG00000032017, ENSMUSG00000023192, ENSMUSG00000046709, ENSMUSG00000025813, ENSMUSG00000030592, ENSMUSG00000002489, ENSMUSG00000007207, ENSMUSG00000035735, ENSMUSG00000022176, ENSMUSG00000023050, ENSMUSG00000049583, ENSMUSG00000032012, ENSMUSG00000027347, ENSMUSG00000032936, ENSMUSG00000026675, ENSMUSG00000070570, ENSMUSG00000017978, ENSMUSG00000060882, ENSMUSG00000034209, ENSMUSG00000024524, ENSMUSG00000050896, ENSMUSG00000032087, ENSMUSG00000030020, ENSMUSG00000059003, ENSMUSG00000043811, ENSMUSG00000027612, ENSMUSG00000016150, ENSMUSG00000024112, ENSMUSG00000022602, ENSMUSG00000071658, ENSMUSG00000057914, ENSMUSG00000052298, ENSMUSG00000011751, ENSMUSG00000020340, ENSMUSG00000026782, ENSMUSG00000057182, ENSMUSG00000068740, ENSMUSG00000034656, ENSMUSG00000059213, ENSMUSG00000058589, ENSMUSG00000032336, ENSMUSG00000021549, ENSMUSG00000037014, ENSMUSG00000052698, ENSMUSG00000040009, ENSMUSG00000079657, ENSMUSG00000069227, ENSMUSG00000018547, ENSMUSG00000063873, ENSMUSG00000034902, ENSMUSG00000068037, ENSMUSG00000035513, ENSMUSG00000053025, ENSMUSG00000032174, ENSMUSG00000020598, ENSMUSG00000020866, ENSMUSG00000036882, ENSMUSG00000019943, ENSMUSG00000056296, ENSMUSG00000023473, ENSMUSG00000043004, ENSMUSG00000033423, ENSMUSG00000021536, ENSMUSG00000039156, ENSMUSG00000030000, ENSMUSG00000060279, ENSMUSG00000036591, ENSMUSG00000050965, ENSMUSG00000034220, ENSMUSG00000055540, ENSMUSG00000063887, ENSMUSG00000049556, ENSMUSG00000026344, ENSMUSG00000038502, ENSMUSG00000042686, ENSMUSG00000052572, ENSMUSG00000034730, ENSMUSG00000047495, ENSMUSG00000021719, ENSMUSG00000039546, ENSMUSG00000030209, ENSMUSG00000040836, ENSMUSG00000058153, ENSMUSG00000045763, ENSMUSG00000029869, ENSMUSG00000026235, ENSMUSG00000013033, ENSMUSG00000032452, ENSMUSG00000063895, ENSMUSG00000029055	729	1826	7882	1.6816145990621671	2.657046682472316E-21	1.328523341236158E-21	9.38556457686724E-21
GOTERM_CC_FAT	GO:0043005~neuron projection	71	6.316725978647687	5.10215106759703E-21	ENSMUSG00000038084, ENSMUSG00000001986, ENSMUSG00000024862, ENSMUSG00000031012, ENSMUSG00000019828, ENSMUSG00000074657, ENSMUSG00000022883, ENSMUSG00000019261, ENSMUSG00000030397, ENSMUSG00000060534, ENSMUSG00000059003, ENSMUSG00000039809, ENSMUSG00000022602, ENSMUSG00000003378, ENSMUSG00000033676, ENSMUSG00000031787, ENSMUSG00000039239, ENSMUSG00000051331, ENSMUSG00000048895, ENSMUSG00000063142, ENSMUSG00000031391, ENSMUSG00000011751, ENSMUSG00000026782, ENSMUSG00000028833, ENSMUSG00000034656, ENSMUSG00000032532, ENSMUSG00000059213, ENSMUSG00000029121, ENSMUSG00000058589, ENSMUSG00000020900, ENSMUSG00000040640, ENSMUSG00000023033, ENSMUSG00000022212, ENSMUSG00000020704, ENSMUSG00000053310, ENSMUSG00000069227, ENSMUSG00000029223, ENSMUSG00000029840, ENSMUSG00000029361, ENSMUSG00000030077, ENSMUSG00000021730, ENSMUSG00000024163, ENSMUSG00000020598, ENSMUSG00000030525, ENSMUSG00000015222, ENSMUSG00000075318, ENSMUSG00000037541, ENSMUSG00000017167, ENSMUSG00000021536, ENSMUSG00000023915, ENSMUSG00000004113, ENSMUSG00000062661, ENSMUSG00000043079, ENSMUSG00000033004, ENSMUSG00000022421, ENSMUSG00000023192, ENSMUSG00000031227, ENSMUSG00000022791, ENSMUSG00000033981, ENSMUSG00000069601, ENSMUSG00000078816, ENSMUSG00000030209, ENSMUSG00000045763, ENSMUSG00000058835, ENSMUSG00000032356, ENSMUSG00000007207, ENSMUSG00000026764, ENSMUSG00000047261, ENSMUSG00000029104, ENSMUSG00000023050, ENSMUSG00000025867	729	226	7882	3.3967126746543332	2.01024752063323E-18	6.700825068777433E-19	7.10085676885243E-18
SP_PIR_KEYWORDS	synapse	60	5.338078291814947	1.4446897480259352E-19	ENSMUSG00000001986, ENSMUSG00000041670, ENSMUSG00000070570, ENSMUSG00000017978, ENSMUSG00000022456, ENSMUSG00000041268, ENSMUSG00000020886, ENSMUSG00000062995, ENSMUSG00000024462, ENSMUSG00000027457, ENSMUSG00000042388, ENSMUSG00000059003, ENSMUSG00000009394, ENSMUSG00000039809, ENSMUSG00000022602, ENSMUSG00000003378, ENSMUSG00000032773, ENSMUSG00000021314, ENSMUSG00000033676, ENSMUSG00000003279, ENSMUSG00000032589, ENSMUSG00000020340, ENSMUSG00000029420, ENSMUSG00000058589, ENSMUSG00000040640, ENSMUSG00000052698, ENSMUSG00000034686, ENSMUSG00000053310, ENSMUSG00000062372, ENSMUSG00000053025, ENSMUSG00000035168, ENSMUSG00000030525, ENSMUSG00000037217, ENSMUSG00000034799, ENSMUSG00000022623, ENSMUSG00000056296, ENSMUSG00000029151, ENSMUSG00000037541, ENSMUSG00000024083, ENSMUSG00000041078, ENSMUSG00000024617, ENSMUSG00000062661, ENSMUSG00000043079, ENSMUSG00000029211, ENSMUSG00000042078, ENSMUSG00000063887, ENSMUSG00000027273, ENSMUSG00000052572, ENSMUSG00000055078, ENSMUSG00000047495, ENSMUSG00000032017, ENSMUSG00000033981, ENSMUSG00000025813, ENSMUSG00000023011, ENSMUSG00000030209, ENSMUSG00000058835, ENSMUSG00000020524, ENSMUSG00000027799, ENSMUSG00000007207, ENSMUSG00000047261	1042	184	11873	3.7155762329967454	4.9552858357289574E-17	4.9552858357289574E-17	1.969936560079884E-16
GOTERM_CC_FAT	GO:0044456~synapse part	60	5.338078291814947	6.151427804250474E-19	ENSMUSG00000001986, ENSMUSG00000041670, ENSMUSG00000070570, ENSMUSG00000017978, ENSMUSG00000041268, ENSMUSG00000020848, ENSMUSG00000019828, ENSMUSG00000020886, ENSMUSG00000062995, ENSMUSG00000024462, ENSMUSG00000042388, ENSMUSG00000059003, ENSMUSG00000009394, ENSMUSG00000039809, ENSMUSG00000022602, ENSMUSG00000003378, ENSMUSG00000032773, ENSMUSG00000021314, ENSMUSG00000033676, ENSMUSG00000003279, ENSMUSG00000032589, ENSMUSG00000063142, ENSMUSG00000031391, ENSMUSG00000058589, ENSMUSG00000032336, ENSMUSG00000040640, ENSMUSG00000034686, ENSMUSG00000053025, ENSMUSG00000035168, ENSMUSG00000030525, ENSMUSG00000037217, ENSMUSG00000024403, ENSMUSG00000022623, ENSMUSG00000056296, ENSMUSG00000037541, ENSMUSG00000024083, ENSMUSG00000038738, ENSMUSG00000041078, ENSMUSG00000024617, ENSMUSG00000062661, ENSMUSG00000043079, ENSMUSG00000029211, ENSMUSG00000042078, ENSMUSG00000063887, ENSMUSG00000052572, ENSMUSG00000055078, ENSMUSG00000047495, ENSMUSG00000032017, ENSMUSG00000023192, ENSMUSG00000031227, ENSMUSG00000033981, ENSMUSG00000030102, ENSMUSG00000058420, ENSMUSG00000025813, ENSMUSG00000023011, ENSMUSG00000030209, ENSMUSG00000020524, ENSMUSG00000027799, ENSMUSG00000007207, ENSMUSG00000032452	729	182	7882	3.5644191199746755	2.4236625548746867E-16	6.059156387186717E-17	8.561174920775379E-16
GOTERM_CC_FAT	GO:0044459~plasma membrane part	179	15.92526690391459	4.626971598546983E-16	ENSMUSG00000033060, ENSMUSG00000001986, ENSMUSG00000028053, ENSMUSG00000005338, ENSMUSG00000041670, ENSMUSG00000043940, ENSMUSG00000022456, ENSMUSG00000041268, ENSMUSG00000059146, ENSMUSG00000047842, ENSMUSG00000015968, ENSMUSG00000020886, ENSMUSG00000029436, ENSMUSG00000062995, ENSMUSG00000024462, ENSMUSG00000028909, ENSMUSG00000024639, ENSMUSG00000027457, ENSMUSG00000062785, ENSMUSG00000032839, ENSMUSG00000042388, ENSMUSG00000022841, ENSMUSG00000048240, ENSMUSG00000009394, ENSMUSG00000020882, ENSMUSG00000003378, ENSMUSG00000032773, ENSMUSG00000021314, ENSMUSG00000003279, ENSMUSG00000042303, ENSMUSG00000024772, ENSMUSG00000051331, ENSMUSG00000032589, ENSMUSG00000031391, ENSMUSG00000026834, ENSMUSG00000045053, ENSMUSG00000046523, ENSMUSG00000029420, ENSMUSG00000024065, ENSMUSG00000023033, ENSMUSG00000040640, ENSMUSG00000020704, ENSMUSG00000053310, ENSMUSG00000062372, ENSMUSG00000062444, ENSMUSG00000024163, ENSMUSG00000035168, ENSMUSG00000030525, ENSMUSG00000037217, ENSMUSG00000027748, ENSMUSG00000022623, ENSMUSG00000020198, ENSMUSG00000075318, ENSMUSG00000028033, ENSMUSG00000079499, ENSMUSG00000019790, ENSMUSG00000040118, ENSMUSG00000054640, ENSMUSG00000037541, ENSMUSG00000038485, ENSMUSG00000019894, ENSMUSG00000041078, ENSMUSG00000024617, ENSMUSG00000005672, ENSMUSG00000015476, ENSMUSG00000003352, ENSMUSG00000004113, ENSMUSG00000028664, ENSMUSG00000055319, ENSMUSG00000025170, ENSMUSG00000043557, ENSMUSG00000056258, ENSMUSG00000029211, ENSMUSG00000042078, ENSMUSG00000032925, ENSMUSG00000026824, ENSMUSG00000059456, ENSMUSG00000004110, ENSMUSG00000022421, ENSMUSG00000055078, ENSMUSG00000032017, ENSMUSG00000054934, ENSMUSG00000036422, ENSMUSG00000025813, ENSMUSG00000030592, ENSMUSG00000026768, ENSMUSG00000058835, ENSMUSG00000007207, ENSMUSG00000027220, ENSMUSG00000032012, ENSMUSG00000020135, ENSMUSG00000074575, ENSMUSG00000016346, ENSMUSG00000070570, ENSMUSG00000017978, ENSMUSG00000060882, ENSMUSG00000031012, ENSMUSG00000034209, ENSMUSG00000024524, ENSMUSG00000022883, ENSMUSG00000055723, ENSMUSG00000050896, ENSMUSG00000030020, ENSMUSG00000028289, ENSMUSG00000051375, ENSMUSG00000059003, ENSMUSG00000027612, ENSMUSG00000039809, ENSMUSG00000016150, ENSMUSG00000000416, ENSMUSG00000022602, ENSMUSG00000024112, ENSMUSG00000071658, ENSMUSG00000033676, ENSMUSG00000057914, ENSMUSG00000048895, ENSMUSG00000063142, ENSMUSG00000027002, ENSMUSG00000035152, ENSMUSG00000011751, ENSMUSG00000049336, ENSMUSG00000020340, ENSMUSG00000015733, ENSMUSG00000026782, ENSMUSG00000057182, ENSMUSG00000034656, ENSMUSG00000038764, ENSMUSG00000043463, ENSMUSG00000059213, ENSMUSG00000031202, ENSMUSG00000058589, ENSMUSG00000040009, ENSMUSG00000052698, ENSMUSG00000079657, ENSMUSG00000034686, ENSMUSG00000034902, ENSMUSG00000035513, ENSMUSG00000045287, ENSMUSG00000053025, ENSMUSG00000020866, ENSMUSG00000020651, ENSMUSG00000002957, ENSMUSG00000054889, ENSMUSG00000034799, ENSMUSG00000018322, ENSMUSG00000019943, ENSMUSG00000056296, ENSMUSG00000029151, ENSMUSG00000024083, ENSMUSG00000043004, ENSMUSG00000030000, ENSMUSG00000042604, ENSMUSG00000016763, ENSMUSG00000060279, ENSMUSG00000025468, ENSMUSG00000036591, ENSMUSG00000034220, ENSMUSG00000062661, ENSMUSG00000057738, ENSMUSG00000043079, ENSMUSG00000055540, ENSMUSG00000027273, ENSMUSG00000063887, ENSMUSG00000052572, ENSMUSG00000047495, ENSMUSG00000039546, ENSMUSG00000031539, ENSMUSG00000031227, ENSMUSG00000033981, ENSMUSG00000023011, ENSMUSG00000030209, ENSMUSG00000048216, ENSMUSG00000026235, ENSMUSG00000020524, ENSMUSG00000027799, ENSMUSG00000047261, ENSMUSG00000063895, ENSMUSG00000036825, ENSMUSG00000041957, ENSMUSG00000026527	729	1090	7882	1.7755603377757643	1.7497114868092467E-13	3.497202527569243E-14	6.217248937900877E-13
GOTERM_CC_FAT	GO:0045211~postsynaptic membrane	40	3.558718861209965	4.911246259935609E-16	ENSMUSG00000035168, ENSMUSG00000030525, ENSMUSG00000001986, ENSMUSG00000022623, ENSMUSG00000017978, ENSMUSG00000019828, ENSMUSG00000037541, ENSMUSG00000020886, ENSMUSG00000024083, ENSMUSG00000038738, ENSMUSG00000024462, ENSMUSG00000041078, ENSMUSG00000042388, ENSMUSG00000059003, ENSMUSG00000062661, ENSMUSG00000039809, ENSMUSG00000043079, ENSMUSG00000003378, ENSMUSG00000022602, ENSMUSG00000029211, ENSMUSG00000032773, ENSMUSG00000003279, ENSMUSG00000033676, ENSMUSG00000063887, ENSMUSG00000063142, ENSMUSG00000052572, ENSMUSG00000055078, ENSMUSG00000047495, ENSMUSG00000032017, ENSMUSG00000023192, ENSMUSG00000031227, ENSMUSG00000033981, ENSMUSG00000025813, ENSMUSG00000023011, ENSMUSG00000058589, ENSMUSG00000030209, ENSMUSG00000020524, ENSMUSG00000027799, ENSMUSG00000034686, ENSMUSG00000032452	729	99	7882	4.368513668925191	1.7497114868092467E-13	2.919886554764162E-14	6.217248937900877E-13
SP_PIR_KEYWORDS	cell membrane	170	15.12455516014235	9.772678499223676E-16	ENSMUSG00000001986, ENSMUSG00000021721, ENSMUSG00000005338, ENSMUSG00000041670, ENSMUSG00000018634, ENSMUSG00000047842, ENSMUSG00000055761, ENSMUSG00000019828, ENSMUSG00000020886, ENSMUSG00000029436, ENSMUSG00000024462, ENSMUSG00000028909, ENSMUSG00000042388, ENSMUSG00000026322, ENSMUSG00000006711, ENSMUSG00000022841, ENSMUSG00000048240, ENSMUSG00000020882, ENSMUSG00000028782, ENSMUSG00000003378, ENSMUSG00000032773, ENSMUSG00000027316, ENSMUSG00000003279, ENSMUSG00000027584, ENSMUSG00000024772, ENSMUSG00000035203, ENSMUSG00000051331, ENSMUSG00000031391, ENSMUSG00000051323, ENSMUSG00000045053, ENSMUSG00000029420, ENSMUSG00000062232, ENSMUSG00000024065, ENSMUSG00000020704, ENSMUSG00000020580, ENSMUSG00000062372, ENSMUSG00000029361, ENSMUSG00000030077, ENSMUSG00000025318, ENSMUSG00000035168, ENSMUSG00000030525, ENSMUSG00000022623, ENSMUSG00000009075, ENSMUSG00000025221, ENSMUSG00000079499, ENSMUSG00000019790, ENSMUSG00000045733, ENSMUSG00000054640, ENSMUSG00000037541, ENSMUSG00000038485, ENSMUSG00000054843, ENSMUSG00000041078, ENSMUSG00000024617, ENSMUSG00000022577, ENSMUSG00000025170, ENSMUSG00000043557, ENSMUSG00000039114, ENSMUSG00000029211, ENSMUSG00000027335, ENSMUSG00000059456, ENSMUSG00000055078, ENSMUSG00000032017, ENSMUSG00000023192, ENSMUSG00000036422, ENSMUSG00000022791, ENSMUSG00000025813, ENSMUSG00000031673, ENSMUSG00000045318, ENSMUSG00000035735, ENSMUSG00000006476, ENSMUSG00000022176, ENSMUSG00000025370, ENSMUSG00000049583, ENSMUSG00000032012, ENSMUSG00000020135, ENSMUSG00000027347, ENSMUSG00000032936, ENSMUSG00000026675, ENSMUSG00000031012, ENSMUSG00000021662, ENSMUSG00000034209, ENSMUSG00000055723, ENSMUSG00000050896, ENSMUSG00000044067, ENSMUSG00000043811, ENSMUSG00000051375, ENSMUSG00000059003, ENSMUSG00000027612, ENSMUSG00000039809, ENSMUSG00000047904, ENSMUSG00000022602, ENSMUSG00000071658, ENSMUSG00000033676, ENSMUSG00000057914, ENSMUSG00000041014, ENSMUSG00000052298, ENSMUSG00000048895, ENSMUSG00000027002, ENSMUSG00000035152, ENSMUSG00000068740, ENSMUSG00000024091, ENSMUSG00000038764, ENSMUSG00000021373, ENSMUSG00000043463, ENSMUSG00000059213, ENSMUSG00000031202, ENSMUSG00000058589, ENSMUSG00000032336, ENSMUSG00000037014, ENSMUSG00000052698, ENSMUSG00000040479, ENSMUSG00000079657, ENSMUSG00000034686, ENSMUSG00000034981, ENSMUSG00000069227, ENSMUSG00000018547, ENSMUSG00000028126, ENSMUSG00000068037, ENSMUSG00000035513, ENSMUSG00000045287, ENSMUSG00000020598, ENSMUSG00000021910, ENSMUSG00000002957, ENSMUSG00000025876, ENSMUSG00000044933, ENSMUSG00000034799, ENSMUSG00000036882, ENSMUSG00000023473, ENSMUSG00000024083, ENSMUSG00000043004, ENSMUSG00000036510, ENSMUSG00000030000, ENSMUSG00000016763, ENSMUSG00000060279, ENSMUSG00000025468, ENSMUSG00000050965, ENSMUSG00000034220, ENSMUSG00000062661, ENSMUSG00000043079, ENSMUSG00000057230, ENSMUSG00000027273, ENSMUSG00000063887, ENSMUSG00000049556, ENSMUSG00000026344, ENSMUSG00000038502, ENSMUSG00000042686, ENSMUSG00000052572, ENSMUSG00000034730, ENSMUSG00000047495, ENSMUSG00000021719, ENSMUSG00000039546, ENSMUSG00000038831, ENSMUSG00000033981, ENSMUSG00000023011, ENSMUSG00000040836, ENSMUSG00000030209, ENSMUSG00000045763, ENSMUSG00000058153, ENSMUSG00000031028, ENSMUSG00000029869, ENSMUSG00000013033, ENSMUSG00000048216, ENSMUSG00000020524, ENSMUSG00000028004, ENSMUSG00000027799, ENSMUSG00000024479, ENSMUSG00000047261, ENSMUSG00000032452, ENSMUSG00000029055, ENSMUSG00000050505, ENSMUSG00000051243	1042	1056	11873	1.8343311958355144	3.427258477017858E-13	1.7141843500212417E-13	1.3655743202889425E-12
SP_PIR_KEYWORDS	ionic channel	56	4.98220640569395	3.5958446731081326E-14	ENSMUSG00000016346, ENSMUSG00000001986, ENSMUSG00000058248, ENSMUSG00000060882, ENSMUSG00000015968, ENSMUSG00000062785, ENSMUSG00000032839, ENSMUSG00000027827, ENSMUSG00000059003, ENSMUSG00000020882, ENSMUSG00000021313, ENSMUSG00000024112, ENSMUSG00000003378, ENSMUSG00000057914, ENSMUSG00000033676, ENSMUSG00000051331, ENSMUSG00000063142, ENSMUSG00000045053, ENSMUSG00000057182, ENSMUSG00000034656, ENSMUSG00000037579, ENSMUSG00000023033, ENSMUSG00000020704, ENSMUSG00000028931, ENSMUSG00000021730, ENSMUSG00000020866, ENSMUSG00000030525, ENSMUSG00000027748, ENSMUSG00000074968, ENSMUSG00000075318, ENSMUSG00000025221, ENSMUSG00000028033, ENSMUSG00000040118, ENSMUSG00000048827, ENSMUSG00000057378, ENSMUSG00000041078, ENSMUSG00000003352, ENSMUSG00000042604, ENSMUSG00000004113, ENSMUSG00000000197, ENSMUSG00000056258, ENSMUSG00000043301, ENSMUSG00000029211, ENSMUSG00000026824, ENSMUSG00000004110, ENSMUSG00000041710, ENSMUSG00000055078, ENSMUSG00000049281, ENSMUSG00000032017, ENSMUSG00000054934, ENSMUSG00000033981, ENSMUSG00000030102, ENSMUSG00000030592, ENSMUSG00000030209, ENSMUSG00000020524, ENSMUSG00000074575	1042	208	11873	3.0677321718588515	1.233813051726429E-11	4.11271017242143E-12	4.9049653227939416E-11
GOTERM_MF_FAT	GO:0022836~gated channel activity	56	4.98220640569395	3.9511130796078836E-14	ENSMUSG00000016346, ENSMUSG00000001986, ENSMUSG00000058248, ENSMUSG00000060882, ENSMUSG00000015968, ENSMUSG00000062785, ENSMUSG00000032839, ENSMUSG00000027827, ENSMUSG00000059003, ENSMUSG00000020882, ENSMUSG00000021313, ENSMUSG00000024112, ENSMUSG00000003378, ENSMUSG00000057914, ENSMUSG00000033676, ENSMUSG00000051331, ENSMUSG00000063142, ENSMUSG00000011751, ENSMUSG00000046523, ENSMUSG00000045053, ENSMUSG00000057182, ENSMUSG00000034656, ENSMUSG00000037579, ENSMUSG00000023033, ENSMUSG00000020704, ENSMUSG00000028931, ENSMUSG00000021730, ENSMUSG00000020866, ENSMUSG00000030525, ENSMUSG00000027748, ENSMUSG00000075318, ENSMUSG00000025221, ENSMUSG00000028033, ENSMUSG00000040118, ENSMUSG00000057378, ENSMUSG00000041078, ENSMUSG00000003352, ENSMUSG00000042604, ENSMUSG00000004113, ENSMUSG00000000197, ENSMUSG00000056258, ENSMUSG00000043301, ENSMUSG00000029211, ENSMUSG00000026824, ENSMUSG00000022416, ENSMUSG00000004110, ENSMUSG00000055078, ENSMUSG00000049281, ENSMUSG00000032017, ENSMUSG00000054934, ENSMUSG00000033981, ENSMUSG00000030102, ENSMUSG00000030592, ENSMUSG00000030209, ENSMUSG00000020524, ENSMUSG00000074575	765	203	8407	3.0315979265269326	2.822009292913208E-11	2.822009292913208E-11	5.976330541557218E-11
