




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	ConDec (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	ConDec (892)	ConDec (expected)	ConDec (over/under)	ConDec (fold Enrichment)	ConDec (raw P-value)	ConDec (FDR)
regulation of short-term neuronal synaptic plasticity (GO:0048172)	16	8	1.22	+	6.53	1.67E-04	1.65E-02
regulation of synaptic vesicle exocytosis (GO:2000300)	25	12	1.91	+	6.27	5.46E-06	1.13E-03
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	19	9	1.45	+	6.19	8.98E-05	1.01E-02
regulation of glutamate secretion (GO:0014048)	15	7	1.15	+	6.10	5.94E-04	4.77E-02
regulation of synaptic vesicle transport (GO:1902803)	26	12	1.99	+	6.03	7.46E-06	1.34E-03
regulation of calcium ion-dependent exocytosis (GO:0017158)	53	23	4.06	+	5.67	1.35E-09	2.33E-06
calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)	20	8	1.53	+	5.22	5.47E-04	4.47E-02
regulation of synaptic vesicle cycle (GO:0098693)	39	15	2.99	+	5.02	3.34E-06	7.97E-04
synaptic transmission, glutamatergic (GO:0035249)	26	10	1.99	+	5.02	1.46E-04	1.52E-02
excitatory postsynaptic potential (GO:0060079)	27	10	2.07	+	4.84	1.87E-04	1.83E-02
chemical synaptic transmission, postsynaptic (GO:0099565)	34	12	2.60	+	4.61	6.32E-05	7.73E-03
regulation of postsynaptic membrane potential (GO:0060078)	35	12	2.68	+	4.48	7.94E-05	9.14E-03
synaptic vesicle exocytosis (GO:0016079)	45	15	3.45	+	4.35	1.37E-05	2.09E-03
regulation of neurotransmitter secretion (GO:0046928)	49	16	3.75	+	4.27	8.85E-06	1.46E-03
neurotransmitter secretion (GO:0007269)	66	21	5.05	+	4.16	5.15E-07	2.03E-04
signal release from synapse (GO:0099643)	66	21	5.05	+	4.16	5.15E-07	1.98E-04
positive regulation of sodium ion transport (GO:0010765)	32	10	2.45	+	4.08	5.71E-04	4.64E-02
presynaptic process involved in chemical synaptic transmission (GO:0099531)	68	21	5.21	+	4.03	7.73E-07	2.81E-04
regulation of synapse assembly (GO:0051963)	72	22	5.51	+	3.99	4.92E-07	2.06E-04
calcium ion regulated exocytosis (GO:0017156)	53	16	4.06	+	3.94	2.00E-05	2.90E-03
positive regulation of synapse assembly (GO:0051965)	60	18	4.59	+	3.92	6.59E-06	1.25E-03
regulation of regulated secretory pathway (GO:1903305)	83	23	6.35	+	3.62	1.14E-06	3.50E-04
synaptic vesicle localization (GO:0097479)	76	21	5.82	+	3.61	3.43E-06	7.91E-04
visual learning (GO:0008542)	51	14	3.90	+	3.59	1.53E-04	1.59E-02
regulation of amine transport (GO:0051952)	56	15	4.29	+	3.50	1.13E-04	1.22E-02
visual behavior (GO:0007632)	53	14	4.06	+	3.45	2.15E-04	2.03E-02
neurotransmitter transport (GO:0006836)	118	31	9.03	+	3.43	4.56E-08	3.15E-05
synaptic vesicle transport (GO:0048489)	73	19	5.59	+	3.40	2.03E-05	2.92E-03
establishment of synaptic vesicle localization (GO:0097480)	73	19	5.59	+	3.40	2.03E-05	2.89E-03
negative regulation of synaptic transmission (GO:0050805)	54	14	4.13	+	3.39	2.53E-04	2.32E-02
synaptic vesicle cycle (GO:0099504)	79	20	6.05	+	3.31	1.74E-05	2.62E-03
regulation of neurotransmitter transport (GO:0051588)	72	18	5.51	+	3.27	5.22E-05	6.50E-03
positive regulation of axonogenesis (GO:0050772)	73	18	5.59	+	3.22	6.09E-05	7.51E-03
vesicle localization (GO:0051648)	134	33	10.26	+	3.22	6.27E-08	3.61E-05
chemical synaptic transmission (GO:0007268)	248	61	18.99	+	3.21	1.57E-13	2.17E-09
anterograde trans-synaptic signaling (GO:0098916)	248	61	18.99	+	3.21	1.57E-13	1.08E-09
establishment of vesicle localization (GO:0051650)	123	30	9.42	+	3.19	2.96E-07	1.41E-04
synaptic signaling (GO:0099536)	257	62	19.68	+	3.15	2.05E-13	9.45E-10
trans-synaptic signaling (GO:0099537)	255	61	19.52	+	3.12	4.42E-13	1.53E-09
signal release (GO:0023061)	106	25	8.12	+	3.08	4.75E-06	1.01E-03
regulated exocytosis (GO:0045055)	85	20	6.51	+	3.07	4.27E-05	5.52E-03
response to ammonium ion (GO:0060359)	69	16	5.28	+	3.03	2.81E-04	2.50E-02
regulation of exocytosis (GO:0017157)	130	30	9.95	+	3.01	8.08E-07	2.86E-04
vesicle-mediated transport in synapse (GO:0099003)	90	20	6.89	+	2.90	8.48E-05	9.61E-03
learning (GO:0007612)	126	28	9.65	+	2.90	3.51E-06	7.95E-04
exocytosis (GO:0006887)	149	33	11.41	+	2.89	5.14E-07	2.09E-04
positive regulation of synaptic transmission (GO:0050806)	122	27	9.34	+	2.89	5.57E-06	1.13E-03
potassium ion transmembrane transport (GO:0071805)	77	17	5.90	+	2.88	3.02E-04	2.62E-02
cellular potassium ion transport (GO:0071804)	77	17	5.90	+	2.88	3.02E-04	2.61E-02
associative learning (GO:0008306)	73	16	5.59	+	2.86	4.82E-04	4.01E-02
regulation of synapse organization (GO:0050807)	143	30	10.95	+	2.74	6.96E-06	1.27E-03
modulation of chemical synaptic transmission (GO:0050804)	282	59	21.59	+	2.73	1.26E-10	2.91E-07
regulation of trans-synaptic signaling (GO:0099177)	282	59	21.59	+	2.73	1.26E-10	2.49E-07
regulation of synaptic plasticity (GO:0048167)	155	32	11.87	+	2.70	3.74E-06	8.33E-04
regulation of synapse structure or activity (GO:0050803)	147	30	11.25	+	2.67	8.93E-06	1.45E-03
adult behavior (GO:0030534)	121	24	9.26	+	2.59	1.05E-04	1.15E-02
positive regulation of neuron projection development (GO:0010976)	229	45	17.53	+	2.57	1.28E-07	6.80E-05
protein localization to cell periphery (GO:1990778)	148	29	11.33	+	2.56	2.12E-05	3.00E-03
regulation of neurotransmitter levels (GO:0001505)	203	39	15.54	+	2.51	1.44E-06	4.14E-04
regulation of axonogenesis (GO:0050770)	148	28	11.33	+	2.47	7.68E-05	9.00E-03
learning or memory (GO:0007611)	207	39	15.85	+	2.46	1.96E-06	5.12E-04
synapse organization (GO:0050808)	162	30	12.40	+	2.42	4.56E-05	5.78E-03
protein localization to plasma membrane (GO:0072659)	130	24	9.95	+	2.41	3.58E-04	3.05E-02
regulation of dendrite development (GO:0050773)	143	26	10.95	+	2.37	2.00E-04	1.92E-02
inorganic ion transmembrane transport (GO:0098660)	270	49	20.67	+	2.37	3.53E-07	1.57E-04
inorganic cation transmembrane transport (GO:0098662)	240	43	18.37	+	2.34	1.84E-06	5.08E-04
cognition (GO:0050890)	231	41	17.69	+	2.32	3.93E-06	8.62E-04
secretion by cell (GO:0032940)	249	44	19.06	+	2.31	2.46E-06	6.17E-04
establishment of organelle localization (GO:0051656)	261	46	19.98	+	2.30	1.36E-06	4.01E-04
cation transmembrane transport (GO:0098655)	250	44	19.14	+	2.30	2.58E-06	6.26E-04
cell-cell signaling (GO:0007267)	509	88	38.97	+	2.26	2.95E-11	8.16E-08
regulation of neuron projection development (GO:0010975)	382	66	29.25	+	2.26	1.08E-08	9.92E-06
locomotory behavior (GO:0007626)	168	29	12.86	+	2.25	2.00E-04	1.93E-02
monovalent inorganic cation transport (GO:0015672)	192	33	14.70	+	2.24	6.36E-05	7.72E-03
positive regulation of neuron differentiation (GO:0045666)	294	50	22.51	+	2.22	1.10E-06	3.62E-04
positive regulation of cell projection organization (GO:0031346)	307	52	23.50	+	2.21	1.00E-06	3.46E-04
organelle localization (GO:0051640)	350	59	26.80	+	2.20	2.14E-07	1.09E-04
regulation of membrane potential (GO:0042391)	278	46	21.28	+	2.16	8.04E-06	1.37E-03
regulation of cell morphogenesis involved in differentiation (GO:0010769)	248	41	18.99	+	2.16	2.16E-05	3.01E-03
positive regulation of nervous system development (GO:0051962)	425	69	32.54	+	2.12	5.05E-08	3.17E-05
secretion (GO:0046903)	306	49	23.43	+	2.09	7.61E-06	1.33E-03
regulation of vesicle-mediated transport (GO:0060627)	352	56	26.95	+	2.08	1.79E-06	5.06E-04
regulation of neuron differentiation (GO:0045664)	496	78	37.97	+	2.05	2.48E-08	1.80E-05
regulation of plasma membrane bounded cell projection organization (GO:0120035)	503	79	38.51	+	2.05	1.92E-08	1.56E-05
behavior (GO:0007610)	441	69	33.76	+	2.04	2.19E-07	1.08E-04
ion transmembrane transport (GO:0034220)	333	52	25.49	+	2.04	6.89E-06	1.27E-03
regulation of cell projection organization (GO:0031344)	507	79	38.82	+	2.04	2.31E-08	1.77E-05
regulation of ion transport (GO:0043269)	403	62	30.85	+	2.01	1.28E-06	3.83E-04
axon development (GO:0061564)	247	38	18.91	+	2.01	1.58E-04	1.63E-02
axonogenesis (GO:0007409)	229	35	17.53	+	2.00	3.66E-04	3.10E-02
regulation of ion transmembrane transport (GO:0034765)	271	41	20.75	+	1.98	1.23E-04	1.31E-02
positive regulation of neurogenesis (GO:0050769)	373	56	28.56	+	1.96	8.55E-06	1.42E-03
regulation of transmembrane transport (GO:0034762)	282	42	21.59	+	1.95	1.60E-04	1.64E-02
neuron projection development (GO:0031175)	453	67	34.68	+	1.93	1.87E-06	5.08E-04
protein localization to membrane (GO:0072657)	260	38	19.91	+	1.91	5.26E-04	4.33E-02
neuron projection morphogenesis (GO:0048812)	329	48	25.19	+	1.91	9.01E-05	1.00E-02
