




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	ConInc (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	ConInc (696)	ConInc (expected)	ConInc (over/under)	ConInc (fold Enrichment)	ConInc (raw P-value)	ConInc (FDR)
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	4	4	.24	+	16.74	5.84E-04	4.41E-02
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	7	5	.42	+	11.96	3.19E-04	2.75E-02
germinal center formation (GO:0002467)	7	5	.42	+	11.96	3.19E-04	2.74E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	9	6	.54	+	11.16	1.01E-04	1.25E-02
interleukin-1 production (GO:0032612)	9	6	.54	+	11.16	1.01E-04	1.24E-02
interleukin-1 beta production (GO:0032611)	9	6	.54	+	11.16	1.01E-04	1.23E-02
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	19	12	1.14	+	10.57	4.90E-08	1.78E-05
antigen processing and presentation of endogenous antigen (GO:0019883)	8	5	.48	+	10.46	4.94E-04	3.92E-02
response to protozoan (GO:0001562)	13	8	.78	+	10.30	1.03E-05	1.74E-03
defense response to protozoan (GO:0042832)	13	8	.78	+	10.30	1.03E-05	1.72E-03
antigen processing and presentation of exogenous antigen (GO:0019884)	13	8	.78	+	10.30	1.03E-05	1.70E-03
positive regulation of T cell mediated cytotoxicity (GO:0001916)	10	6	.60	+	10.04	1.54E-04	1.64E-02
positive regulation of T cell cytokine production (GO:0002726)	10	6	.60	+	10.04	1.54E-04	1.63E-02
regulation of T cell mediated cytotoxicity (GO:0001914)	11	6	.66	+	9.13	2.27E-04	2.21E-02
cellular response to interferon-beta (GO:0035458)	28	15	1.67	+	8.97	5.48E-09	2.61E-06
positive regulation of T cell mediated immunity (GO:0002711)	22	11	1.31	+	8.37	1.04E-06	2.53E-04
antigen processing and presentation of peptide antigen (GO:0048002)	25	12	1.49	+	8.04	4.71E-07	1.33E-04
regulation of macrophage differentiation (GO:0045649)	13	6	.78	+	7.73	4.52E-04	3.63E-02
response to interferon-beta (GO:0035456)	35	16	2.09	+	7.65	9.84E-09	4.25E-06
positive regulation of interleukin-1 beta secretion (GO:0050718)	16	7	.96	+	7.32	1.94E-04	1.96E-02
positive regulation of interleukin-1 secretion (GO:0050716)	16	7	.96	+	7.32	1.94E-04	1.95E-02
production of molecular mediator involved in inflammatory response (GO:0002532)	14	6	.84	+	7.17	6.16E-04	4.60E-02
regulation of T cell cytokine production (GO:0002724)	14	6	.84	+	7.17	6.16E-04	4.57E-02
regulation of interleukin-1 beta secretion (GO:0050706)	17	7	1.02	+	6.89	2.61E-04	2.39E-02
positive regulation of interleukin-1 beta production (GO:0032731)	20	8	1.19	+	6.70	1.11E-04	1.29E-02
defense response to Gram-positive bacterium (GO:0050830)	36	14	2.15	+	6.51	4.05E-07	1.19E-04
regulation of interleukin-1 secretion (GO:0050704)	18	7	1.08	+	6.51	3.45E-04	2.91E-02
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	19	7	1.14	+	6.17	4.49E-04	3.65E-02
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	19	7	1.14	+	6.17	4.49E-04	3.63E-02
regulation of T cell mediated immunity (GO:0002709)	31	11	1.85	+	5.94	1.45E-05	2.25E-03
positive regulation of interleukin-8 production (GO:0032757)	20	7	1.19	+	5.86	5.78E-04	4.39E-02
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	43	15	2.57	+	5.84	4.87E-07	1.32E-04
positive regulation of interleukin-1 production (GO:0032732)	23	8	1.37	+	5.82	2.42E-04	2.31E-02
antigen processing and presentation (GO:0019882)	46	16	2.75	+	5.82	2.09E-07	7.05E-05
positive regulation of lymphocyte mediated immunity (GO:0002708)	46	16	2.75	+	5.82	2.09E-07	6.89E-05
positive regulation of cell killing (GO:0031343)	24	8	1.43	+	5.58	3.07E-04	2.71E-02
positive regulation of adaptive immune response (GO:0002821)	48	16	2.87	+	5.58	3.36E-07	1.06E-04
regulation of interleukin-8 production (GO:0032677)	28	9	1.67	+	5.38	1.63E-04	1.69E-02
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	25	8	1.49	+	5.36	3.86E-04	3.23E-02
positive regulation of tumor necrosis factor production (GO:0032760)	48	15	2.87	+	5.23	1.54E-06	3.60E-04
regulation of mast cell activation (GO:0033003)	29	9	1.73	+	5.20	2.03E-04	2.00E-02
defense response to bacterium (GO:0042742)	78	24	4.66	+	5.15	1.50E-09	8.31E-07
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	49	15	2.93	+	5.12	1.90E-06	4.18E-04
regulation of cytokine production involved in immune response (GO:0002718)	37	11	2.21	+	4.98	5.61E-05	7.52E-03
positive regulation of interferon-gamma production (GO:0032729)	27	8	1.61	+	4.96	5.92E-04	4.45E-02
positive regulation of leukocyte mediated immunity (GO:0002705)	58	17	3.46	+	4.91	6.58E-07	1.69E-04
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	33	9	1.97	+	4.57	4.54E-04	3.62E-02
positive regulation of chemokine production (GO:0032722)	34	9	2.03	+	4.43	5.45E-04	4.21E-02
regulation of interleukin-6 production (GO:0032675)	70	18	4.18	+	4.30	1.55E-06	3.57E-04
positive regulation of interleukin-6 production (GO:0032755)	47	12	2.81	+	4.27	9.06E-05	1.17E-02
positive regulation of production of molecular mediator of immune response (GO:0002702)	47	12	2.81	+	4.27	9.06E-05	1.16E-02
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	72	18	4.30	+	4.18	2.19E-06	4.72E-04
inflammatory response (GO:0006954)	192	47	11.47	+	4.10	2.93E-14	4.06E-11
regulation of adaptive immune response (GO:0002819)	82	20	4.90	+	4.08	8.37E-07	2.10E-04
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	78	19	4.66	+	4.08	1.60E-06	3.56E-04
regulation of tumor necrosis factor production (GO:0032680)	74	18	4.42	+	4.07	3.05E-06	6.10E-04
regulation of lymphocyte mediated immunity (GO:0002706)	75	18	4.48	+	4.02	3.58E-06	6.97E-04
regulation of alpha-beta T cell activation (GO:0046634)	42	10	2.51	+	3.99	5.56E-04	4.25E-02
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	76	18	4.54	+	3.96	4.20E-06	7.85E-04
regulation of leukocyte mediated immunity (GO:0002703)	103	24	6.15	+	3.90	1.41E-07	4.99E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	73	17	4.36	+	3.90	9.37E-06	1.64E-03
defense response to other organism (GO:0098542)	189	44	11.29	+	3.90	8.78E-13	9.33E-10
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	43	10	2.57	+	3.89	6.52E-04	4.82E-02
adaptive immune response (GO:0002250)	118	27	7.05	+	3.83	3.25E-08	1.25E-05
lymphocyte mediated immunity (GO:0002449)	57	13	3.41	+	3.82	1.25E-04	1.41E-02
activation of innate immune response (GO:0002218)	53	12	3.17	+	3.79	2.39E-04	2.29E-02
regulation of leukocyte apoptotic process (GO:2000106)	58	13	3.46	+	3.75	1.45E-04	1.57E-02
response to molecule of bacterial origin (GO:0002237)	157	35	9.38	+	3.73	5.41E-10	3.25E-07
response to bacterium (GO:0009617)	223	49	13.32	+	3.68	2.77E-13	3.19E-10
cellular response to molecule of bacterial origin (GO:0071219)	92	20	5.50	+	3.64	3.86E-06	7.40E-04
immune response-activating signal transduction (GO:0002757)	92	20	5.50	+	3.64	3.86E-06	7.30E-04
innate immune response (GO:0045087)	277	60	16.55	+	3.63	9.00E-16	1.56E-12
cellular response to lipopolysaccharide (GO:0071222)	88	19	5.26	+	3.61	7.30E-06	1.29E-03
myeloid leukocyte activation (GO:0002274)	65	14	3.88	+	3.61	1.17E-04	1.35E-02
leukocyte mediated immunity (GO:0002443)	79	17	4.72	+	3.60	2.28E-05	3.42E-03
positive regulation of cytokine production (GO:0001819)	214	46	12.78	+	3.60	2.96E-12	2.72E-09
positive regulation of immune effector process (GO:0002699)	107	23	6.39	+	3.60	8.71E-07	2.15E-04
activation of immune response (GO:0002253)	121	26	7.23	+	3.60	1.71E-07	5.90E-05
regulation of production of molecular mediator of immune response (GO:0002700)	67	14	4.00	+	3.50	1.55E-04	1.62E-02
phagocytosis (GO:0006909)	72	15	4.30	+	3.49	9.38E-05	1.18E-02
