




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	LatDec (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	LatDec (998)	LatDec (expected)	LatDec (over/under)	LatDec (fold Enrichment)	LatDec (raw P-value)	LatDec (FDR)
positive regulation of long-term neuronal synaptic plasticity (GO:0048170)	6	5	.51	+	9.73	9.34E-04	3.99E-02
neuron cell-cell adhesion (GO:0007158)	8	6	.69	+	8.76	4.11E-04	2.08E-02
regulation of NMDA receptor activity (GO:2000310)	16	9	1.37	+	6.57	7.33E-05	4.89E-03
membrane depolarization during action potential (GO:0086010)	22	12	1.88	+	6.37	5.84E-06	5.61E-04
positive regulation of dendritic spine morphogenesis (GO:0061003)	22	12	1.88	+	6.37	5.84E-06	5.57E-04
positive regulation of excitatory postsynaptic potential (GO:2000463)	27	14	2.31	+	6.05	1.54E-06	1.81E-04
regulation of voltage-gated calcium channel activity (GO:1901385)	20	10	1.71	+	5.84	6.22E-05	4.22E-03
calcium ion import (GO:0070509)	31	15	2.66	+	5.65	1.28E-06	1.53E-04
exploration behavior (GO:0035640)	25	12	2.14	+	5.60	1.58E-05	1.38E-03
neuronal action potential (GO:0019228)	21	10	1.80	+	5.56	8.54E-05	5.49E-03
regulation of neuronal synaptic plasticity (GO:0048168)	55	26	4.71	+	5.52	2.56E-10	6.32E-08
regulation of glutamate receptor signaling pathway (GO:1900449)	36	17	3.08	+	5.51	3.30E-07	4.56E-05
cell-cell signaling involved in cardiac conduction (GO:0086019)	17	8	1.46	+	5.49	4.69E-04	2.30E-02
long-term synaptic potentiation (GO:0060291)	41	19	3.51	+	5.41	8.48E-08	1.33E-05
glutamate receptor signaling pathway (GO:0007215)	24	11	2.06	+	5.35	4.97E-05	3.54E-03
regulation of dendritic spine morphogenesis (GO:0061001)	42	19	3.60	+	5.28	1.14E-07	1.73E-05
cholesterol biosynthetic process (GO:0006695)	23	10	1.97	+	5.08	1.54E-04	9.10E-03
synaptic vesicle endocytosis (GO:0048488)	23	10	1.97	+	5.08	1.54E-04	9.07E-03
regulation of long-term neuronal synaptic plasticity (GO:0048169)	30	13	2.57	+	5.06	1.66E-05	1.43E-03
protein localization to synapse (GO:0035418)	30	13	2.57	+	5.06	1.66E-05	1.43E-03
regulation of AMPA receptor activity (GO:2000311)	21	9	1.80	+	5.00	3.58E-04	1.85E-02
motor neuron axon guidance (GO:0008045)	21	9	1.80	+	5.00	3.58E-04	1.85E-02
regulation of neurotransmitter receptor activity (GO:0099601)	35	15	3.00	+	5.00	4.17E-06	4.21E-04
secondary alcohol biosynthetic process (GO:1902653)	24	10	2.06	+	4.86	2.03E-04	1.14E-02
dendritic spine organization (GO:0097061)	24	10	2.06	+	4.86	2.03E-04	1.14E-02
