




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	LatInc (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	LatInc (1220)	LatInc (expected)	LatInc (over/under)	LatInc (fold Enrichment)	LatInc (raw P-value)	LatInc (FDR)
neutrophil activation (GO:0042119)	8	6	.84	+	7.16	1.10E-03	3.22E-02
negative regulation of erythrocyte differentiation (GO:0045647)	9	6	.94	+	6.37	1.69E-03	4.50E-02
endothelial cell morphogenesis (GO:0001886)	9	6	.94	+	6.37	1.69E-03	4.49E-02
central nervous system myelination (GO:0022010)	15	10	1.57	+	6.37	4.88E-05	2.82E-03
axon ensheathment in central nervous system (GO:0032291)	15	10	1.57	+	6.37	4.88E-05	2.81E-03
cholesterol efflux (GO:0033344)	11	7	1.15	+	6.08	8.41E-04	2.62E-02
amino acid import (GO:0043090)	13	8	1.36	+	5.88	4.20E-04	1.55E-02
negative regulation of coagulation (GO:0050819)	20	12	2.09	+	5.73	1.86E-05	1.19E-03
negative regulation of hemostasis (GO:1900047)	20	12	2.09	+	5.73	1.86E-05	1.19E-03
negative regulation of blood coagulation (GO:0030195)	20	12	2.09	+	5.73	1.86E-05	1.18E-03
protein activation cascade (GO:0072376)	18	10	1.88	+	5.31	1.50E-04	7.19E-03
astrocyte development (GO:0014002)	18	10	1.88	+	5.31	1.50E-04	7.16E-03
regulation of hemostasis (GO:1900046)	43	22	4.50	+	4.89	5.74E-08	7.62E-06
regulation of blood coagulation (GO:0030193)	43	22	4.50	+	4.89	5.74E-08	7.55E-06
regulation of coagulation (GO:0050818)	44	22	4.61	+	4.78	7.84E-08	9.76E-06
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	19	9	1.99	+	4.52	7.84E-04	2.51E-02
protein-lipid complex subunit organization (GO:0071825)	19	9	1.99	+	4.52	7.84E-04	2.50E-02
negative regulation of cellular response to drug (GO:2001039)	19	9	1.99	+	4.52	7.84E-04	2.50E-02
negative regulation of response to reactive oxygen species (GO:1901032)	19	9	1.99	+	4.52	7.84E-04	2.49E-02
plasma lipoprotein particle organization (GO:0071827)	17	8	1.78	+	4.49	1.58E-03	4.31E-02
spinal cord patterning (GO:0021511)	17	8	1.78	+	4.49	1.58E-03	4.30E-02
glial cell activation (GO:0061900)	17	8	1.78	+	4.49	1.58E-03	4.29E-02
astrocyte differentiation (GO:0048708)	35	16	3.66	+	4.37	1.12E-05	7.71E-04
regulation of extracellular matrix organization (GO:1903053)	22	10	2.30	+	4.34	5.20E-04	1.84E-02
retinoid metabolic process (GO:0001523)	20	9	2.09	+	4.30	1.04E-03	3.10E-02
macrophage activation (GO:0042116)	25	11	2.62	+	4.20	3.43E-04	1.35E-02
negative regulation of endothelial cell proliferation (GO:0001937)	23	10	2.41	+	4.15	6.83E-04	2.26E-02
diterpenoid metabolic process (GO:0016101)	21	9	2.20	+	4.09	1.37E-03	3.80E-02
cholesterol transport (GO:0030301)	21	9	2.20	+	4.09	1.37E-03	3.80E-02
neurotransmitter biosynthetic process (GO:0042136)	21	9	2.20	+	4.09	1.37E-03	3.79E-02
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	40	17	4.19	+	4.06	1.28E-05	8.62E-04
negative regulation of wound healing (GO:0061045)	33	14	3.46	+	4.05	7.49E-05	4.06E-03
oligodendrocyte differentiation (GO:0048709)	50	21	5.24	+	4.01	1.46E-06	1.29E-04
neutrophil migration (GO:1990266)	29	12	3.04	+	3.95	2.91E-04	1.21E-02
