




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	TraInc (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	TraInc (520)	TraInc (expected)	TraInc (over/under)	TraInc (fold Enrichment)	TraInc (raw P-value)	TraInc (FDR)
replicative senescence (GO:0090399)	3	3	.13	+	22.41	1.41E-03	4.80E-02
mitotic telomere maintenance via semi-conservative replication (GO:1902990)	3	3	.13	+	22.41	1.41E-03	4.79E-02
mitotic DNA replication (GO:1902969)	6	5	.27	+	18.67	5.21E-05	2.86E-03
nuclear DNA replication (GO:0033260)	16	12	.71	+	16.80	5.31E-10	8.54E-08
DNA replication-dependent nucleosome assembly (GO:0006335)	11	8	.49	+	16.30	5.24E-07	4.86E-05
DNA replication-dependent nucleosome organization (GO:0034723)	11	8	.49	+	16.30	5.24E-07	4.83E-05
DNA unwinding involved in DNA replication (GO:0006268)	7	5	.31	+	16.00	8.61E-05	4.28E-03
cell cycle DNA replication (GO:0044786)	17	12	.76	+	15.82	8.71E-10	1.34E-07
meiotic sister chromatid segregation (GO:0045144)	6	4	.27	+	14.94	5.63E-04	2.18E-02
centrosome separation (GO:0051299)	6	4	.27	+	14.94	5.63E-04	2.17E-02
replication fork protection (GO:0048478)	6	4	.27	+	14.94	5.63E-04	2.17E-02
female meiosis chromosome segregation (GO:0016321)	6	4	.27	+	14.94	5.63E-04	2.16E-02
DNA replication initiation (GO:0006270)	23	15	1.03	+	14.61	1.47E-11	3.40E-09
meiosis II (GO:0007135)	8	5	.36	+	14.00	1.35E-04	6.35E-03
kinetochore organization (GO:0051383)	13	8	.58	+	13.79	1.31E-06	1.10E-04
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	10	6	.45	+	13.44	3.28E-05	1.91E-03
signal transduction involved in mitotic cell cycle checkpoint (GO:0072413)	12	7	.54	+	13.07	8.03E-06	5.64E-04
signal transduction involved in mitotic DNA integrity checkpoint (GO:1902403)	12	7	.54	+	13.07	8.03E-06	5.61E-04
signal transduction involved in mitotic DNA damage checkpoint (GO:1902402)	12	7	.54	+	13.07	8.03E-06	5.58E-04
mitotic spindle midzone assembly (GO:0051256)	7	4	.31	+	12.80	8.55E-04	3.09E-02
mitotic spindle elongation (GO:0000022)	7	4	.31	+	12.80	8.55E-04	3.09E-02
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	9	5	.40	+	12.45	2.03E-04	9.04E-03
mitotic chromosome condensation (GO:0007076)	9	5	.40	+	12.45	2.03E-04	9.01E-03
DNA strand elongation involved in DNA replication (GO:0006271)	9	5	.40	+	12.45	2.03E-04	8.98E-03
protein localization to kinetochore (GO:0034501)	13	7	.58	+	12.06	1.19E-05	7.91E-04
attachment of spindle microtubules to kinetochore (GO:0008608)	17	9	.76	+	11.86	7.21E-07	6.52E-05
chromosome condensation (GO:0030261)	17	9	.76	+	11.86	7.21E-07	6.47E-05
DNA duplex unwinding (GO:0032508)	19	10	.85	+	11.79	1.79E-07	1.82E-05
DNA-dependent DNA replication (GO:0006261)	81	41	3.62	+	11.34	3.20E-26	2.60E-23
signal transduction involved in mitotic G1 DNA damage checkpoint (GO:0072431)	10	5	.45	+	11.20	2.94E-04	1.24E-02
intracellular signal transduction involved in G1 DNA damage checkpoint (GO:1902400)	10	5	.45	+	11.20	2.94E-04	1.24E-02
regulation of DNA endoreduplication (GO:0032875)	8	4	.36	+	11.20	1.24E-03	4.34E-02
negative regulation of DNA-dependent DNA replication (GO:2000104)	14	7	.62	+	11.20	1.72E-05	1.09E-03
spindle midzone assembly (GO:0051255)	8	4	.36	+	11.20	1.24E-03	4.33E-02
spindle elongation (GO:0051231)	8	4	.36	+	11.20	1.24E-03	4.31E-02
deoxyribonucleotide biosynthetic process (GO:0009263)	10	5	.45	+	11.20	2.94E-04	1.23E-02
cellular response to hydroxyurea (GO:0072711)	8	4	.36	+	11.20	1.24E-03	4.30E-02
positive regulation of double-strand break repair (GO:2000781)	12	6	.54	+	11.20	7.07E-05	3.70E-03
DNA geometric change (GO:0032392)	24	12	1.07	+	11.20	1.60E-08	1.94E-06
DNA replication checkpoint (GO:0000076)	12	6	.54	+	11.20	7.07E-05	3.69E-03
DNA strand elongation (GO:0022616)	12	6	.54	+	11.20	7.07E-05	3.67E-03
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	29	14	1.29	+	10.82	1.42E-09	2.09E-07
spindle checkpoint (GO:0031577)	21	10	.94	+	10.67	3.66E-07	3.52E-05
protein localization to chromosome, centromeric region (GO:0071459)	17	8	.76	+	10.54	5.98E-06	4.37E-04
positive regulation of defense response to virus by host (GO:0002230)	13	6	.58	+	10.34	9.96E-05	4.93E-03
centriole replication (GO:0007099)	13	6	.58	+	10.34	9.96E-05	4.92E-03
signal transduction involved in DNA damage checkpoint (GO:0072422)	24	11	1.07	+	10.27	1.28E-07	1.37E-05
signal transduction involved in DNA integrity checkpoint (GO:0072401)	24	11	1.07	+	10.27	1.28E-07	1.36E-05
signal transduction involved in cell cycle checkpoint (GO:0072395)	24	11	1.07	+	10.27	1.28E-07	1.35E-05
signal transduction involved in G2 DNA damage checkpoint (GO:0072425)	11	5	.49	+	10.18	4.12E-04	1.65E-02
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	11	5	.49	+	10.18	4.12E-04	1.64E-02
response to antimetabolite (GO:0097329)	11	5	.49	+	10.18	4.12E-04	1.64E-02
regulation of mitotic spindle checkpoint (GO:1903504)	11	5	.49	+	10.18	4.12E-04	1.63E-02
mitotic G2 DNA damage checkpoint (GO:0007095)	20	9	.89	+	10.08	2.06E-06	1.63E-04
chromosome organization involved in meiotic cell cycle (GO:0070192)	38	17	1.70	+	10.02	6.14E-11	1.20E-08
G2 DNA damage checkpoint (GO:0031572)	32	14	1.43	+	9.80	3.86E-09	5.39E-07
regulation of DNA-dependent DNA replication (GO:0090329)	39	17	1.74	+	9.77	8.48E-11	1.58E-08
centriole assembly (GO:0098534)	14	6	.62	+	9.60	1.37E-04	6.43E-03
determination of adult lifespan (GO:0008340)	14	6	.62	+	9.60	1.37E-04	6.40E-03
DNA replication (GO:0006260)	136	58	6.07	+	9.56	1.33E-33	1.68E-30
mitotic G2/M transition checkpoint (GO:0044818)	26	11	1.16	+	9.48	2.42E-07	2.41E-05
histone phosphorylation (GO:0016572)	19	8	.85	+	9.43	1.14E-05	7.63E-04
inner cell mass cell proliferation (GO:0001833)	12	5	.54	+	9.34	5.63E-04	2.16E-02
mitotic spindle assembly (GO:0090307)	36	15	1.61	+	9.34	1.82E-09	2.64E-07
centrosome duplication (GO:0051298)	24	10	1.07	+	9.34	9.65E-07	8.44E-05
replication fork processing (GO:0031297)	24	10	1.07	+	9.34	9.65E-07	8.39E-05
