AT4G22890 PGR5-LIKE A
AT2G45660 AGL20
AT2G34630 GPS1
AT5G25130 CYP71B12
AT3G15020 mMDH2
AT1G58430 RXF26
AT3G09770 LOG2
AT5G06000 EIF3G2
AT5G64620 C/VIF2
AT3G56710 SIB1
AT1G30610 EMB2279
AT3G01510 LSF1
AT2G01860 EMB975
AT1G74880 NdhO
AT3G27710 ARI3
AT3G14770 SWEET2
AT4G12460 ORP2B
AT1G70410 BCA4
AT4G20130 PTAC14
AT5G61810 APC1
AT4G30270 XTH24
AT5G15840 CO
AT3G02090 MPPBETA
AT5G11690 TIM17-3
AT2G18440 GUT15
AT4G36940 NAPRT1
AT1G73140 TBL31
AT2G41460 ARP
AT1G68790 LINC3
AT1G68795 CLE12
AT4G36360 BGAL3
AT2G37380 MAKR3
AT3G08580 AAC1
AT2G35710 PGSIP7
AT5G17690 TFL2
AT1G32560 AtLEA4-1
AT5G60770 NRT2.4
AT1G64660 MGL
AT2G40330 PYL6
AT3G07800 TK1a
AT1G69440 AGO7
AT1G11735 MIR171b
AT3G21870 CYCP2;1
AT1G31200 PP2-A9
AT4G03455 MIR447b
AT4G10040 CYTC-2
AT1G48500 JAZ4
AT5G53970 TAT7
AT5G55480 SVL1
AT2G46270 GBF3
AT2G02310 PP2-B6
AT4G29273 LCR23
AT1G10460 GLP7
AT4G35700 DAZ3
AT3G20475 MSH5
AT3G20470 GRP5
AT3G27840 RPL12-B
AT5G16780 DOT2
AT1G46480 WOX4
AT5G15470 GAUT14
AT5G14780 FDH
AT3G25560 NIK2
AT1G56170 NF-YC2
AT1G62960 ACS10
AT2G18870 VEL3
AT3G16140 PSAH-1
AT4G10115 SCRL20
AT4G11640 SR
AT3G63250 HMT2
AT2G45190 AFO
AT4G15540 UMAMIT38
AT3G05870 APC11
AT1G14610 TWN2
AT1G73805 SARD1
AT1G79840 GL2
AT4G01940 NFU1
AT3G26030 ATB' DELTA
AT1G18040 CDKD1;3
AT2G18120 SRS4
AT2G27230 LHW
AT1G52940 PAP5
AT1G22710 SUC2
AT2G19830 SNF7.2
AT1G80260 emb1427
AT2G47840 Tic20-II
AT1G01070 UMAMIT28
AT3G20860 NEK5
AT3G20865 AGP40
AT1G29990 PFD6
AT3G27070 TOM20-1
AT5G65110 ACX2
AT5G02010 ROPGEF7
AT1G53300 TTL1
AT4G17050 UGLYAH
AT4G21220 LpxD2
AT3G06400 CHR11
AT3G10450 SCPL7
AT2G03520 UPS4
AT4G27970 SLAH2
AT3G19190 ATG2
AT1G11475 NRPB10
AT1G74710 EDS16
AT3G10985 SAG20
AT3G12580 HSP70
AT2G31260 APG9
AT2G28950 EXPA6
AT4G14080 MEE48
AT3G58840 PMD1
AT1G52160 TRZ3
AT3G52290 IQD3
AT2G16970 MEE15
AT3G02870 VTC4
AT1G02970 WEE1
AT3G02875 ILR1
AT4G10250 ATHSP22.0
AT3G55740 PROT2
AT2G17620 CYCB2;1
AT3G42790 AL3
AT1G08600 ATRX
AT3G04880 DRT102
AT1G19580 GAMMA CA1
AT1G14150 PnsL2
AT5G27450 MK
AT1G53480 MRD1
AT3G49620 DIN11
AT1G19050 ARR7
AT1G59620 CW9
AT5G67230 IRX14-L
AT4G22220 ISU1
AT3G51240 F3H
AT3G04110 GLR1.1
AT2G15660 AGL95
AT3G05240 MEF19
AT3G03830 SAUR28
AT5G20150 SPX1
AT4G09820 TT8
AT2G46570 LAC6
AT4G22910 FZR2
AT3G54900 CXIP1
AT2G29140 PUM3
AT5G54510 DFL1
AT2G36250 FTSZ2-1
AT5G13840 FZR3
AT2G01120 ORC4
AT2G39840 TOPP4
AT3G05930 GLP8
AT2G32740 GT13
AT2G38460 IREG1
AT2G16600 ROC3
AT1G69260 AFP1
AT1G78360 GSTU21
AT5G52910 ATIM
AT3G55090 ABCG16
AT1G72990 BGAL17
AT5G57240 ORP4C
AT4G14340 CKI1
AT1G47260 GAMMA CA2
AT2G39330 JAL23
AT3G02680 NBS1
AT4G07410 PCN
AT4G02640 BZO2H1
AT4G31400 CTF7
AT4G32660 AME3
AT5G52000 IMPA-8
AT4G23630 BTI1
AT3G51610 NPU
AT1G67030 ZFP6
AT3G03480 CHAT
AT1G62750 SCO1
AT3G09220 LAC7
AT1G67500 REV3
AT1G26700 MLO14
AT1G60950 FED A
AT2G37460 UMAMIT12
AT3G54110 PUMP1
AT4G08300 UMAMIT17
AT1G16130 WAKL2
AT2G19500 CKX2
AT3G23890 TOPII
AT5G13300 SFC
AT2G02100 LCR69
AT5G41090 NAC095
AT5G48720 XRI1
AT2G27810 NAT12
AT4G37930 SHM1
AT1G80840 WRKY40
AT4G10090 ELP6
AT3G55500 EXPA16
AT1G20930 CDKB2;2
AT4G04740 CPK23
AT2G13100 G3Pp5
AT1G06310 ACX6
AT1G10230 SK18
AT4G39090 RD19
AT1G60620 RPAC43
AT1G60625 RALFL6
AT3G17420 GPK1
AT2G43940 HOL3
AT3G27650 LBD25
AT5G04340 ZAT6
AT3G29590 AT5MAT
AT3G16480 MPPalpha
AT1G14420 AT59
AT5G14570 NRT2.7
AT4G11530 CRK34
AT1G66590 COX19-1
AT5G43630 TZP
AT2G23220 CYP81D6
AT1G25340 MYB116
AT2G22570 NIC1
AT1G03530 NAF1
AT4G11050 GH9C3
AT4G27320 PHOS34
AT4G19600 CYCT1;4
AT4G00110 GAE3
AT1G12860 SCRM2
AT2G21880 RAB7A
AT3G49860 ARLA1B
AT1G28470 NAC010
AT5G06690 WCRKC1
AT4G26050 PIRL8
AT2G22680 WAVH1
AT1G51600 ZML2
AT5G65700 BAM1
AT4G24560 UBP16
AT5G40550 SGF29b
AT4G27860 MEB1
AT3G56070 ROC2
AT3G06230 MKK8
AT4G24690 NBR1
AT3G46510 PUB13
AT3G13570 SCL30A
AT2G23190 CYP81D7
AT2G30470 HSI2
AT2G34500 CYP710A1
AT2G20860 LIP1
AT4G21050 DOF4.4
AT5G62165 AGL42
AT3G52310 ABCG27
AT3G13390 sks11
AT2G17120 LYM2
AT1G79350 EMB1135
AT1G74100 SOT16
AT1G73730 EIL3
AT1G20050 HYD1
AT5G58890 AGL82
AT3G02440 TBL20
AT2G32830 PHT1;5
AT3G16810 PUM24
AT3G19090 LARP6c
AT3G49470 NACA2
AT5G63610 CDKE;1
AT1G55510 BCDH BETA1
AT5G57540 XTH13
AT2G40140 CZF1
AT3G03310 LCAT3
AT3G51030 TRX1
AT5G50790 SWEET10
AT5G52320 CYP96A4
AT1G09140 SR30
AT5G17240 SDG40
AT1G59810 AGL50
AT2G01750 MAP70-3
AT4G27040 VPS22
AT4G33030 SQD1
AT1G74920 ALDH10A8
AT1G54390 ING2
AT1G06130 GLX2-4
AT3G59550 SYN3
AT1G31580 ECS1
AT4G05180 PSBQ-2
AT5G21010 BPM5
AT3G21150 BBX32
AT3G01200 RP2
AT5G17030 UGT78D3
AT1G30230 eEF-1Bb1
AT1G71830 SERK1
AT4G08920 CRY1
AT1G62280 SLAH1
AT1G75330 OTC
AT1G07770 RPS15A
AT2G35320 EYA
AT3G29020 MYB110
AT5G15350 ENODL17
AT5G14000 NAC084
AT1G11840 GLX1
AT2G28000 CPN60A
AT4G31300 PBA1
AT5G11180 GLR2.6
AT1G61800 GPT2
AT5G10270 CDKC;1
AT5G35080 OS9
AT5G15970 KIN2
AT1G32270 ATSYP24
AT4G00460 ROPGEF3
AT2G41370 BOP2
AT1G17140 ICR1
AT1G28670 ARAB-1
AT5G43280 DCI1
AT5G43285 LURE1.1
AT1G62380 ACO2
AT4G36650 PBRP
AT3G47620 TCP14
AT5G40395 U6acat
AT1G32490 ESP3
AT5G40390 SIP1
