# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_tsbky	study_items
GO:0019748	BP	e	secondary metabolic process	2/15	8/2000	0.0014328867111005822	1	2	0.17903919455201778	AT1G74090, AT3G56400
GO:0006790	BP	e	sulfur compound metabolic process	2/15	14/2000	0.004537164205777353	1	2	0.2834593337559402	AT1G74090, AT3G56400
GO:0002376	BP	e	immune system process	1/15	15/2000	0.10713747476168785	1	1	1.0	AT3G56400
GO:0044281	BP	e	small molecule metabolic process	2/15	85/2000	0.1311134838549554	1	2	1.0	AT1G74090, AT3G56400
GO:0009058	BP	e	biosynthetic process	3/15	175/2000	0.13741292223196055	1	3	1.0	AT1G23870, AT1G74090, AT3G56400
GO:0009790	BP	e	embryo development	1/15	21/2000	0.1469119649599693	2	1	1.0	AT4G36600
GO:0005975	BP	e	carbohydrate metabolic process	1/15	50/2000	0.3169040184306498	1	1	1.0	AT1G23870
GO:0007165	BP	e	signal transduction	1/15	55/2000	0.34280200615323075	1	1	1.0	AT3G56400
GO:0048856	BP	e	anatomical structure development	1/15	57/2000	0.3529022355645193	1	1	1.0	AT4G36600
GO:0006950	BP	e	response to stress	1/15	99/2000	0.5343190229959763	1	1	1.0	AT3G56400
GO:0006810	BP	e	transport	1/15	99/2000	0.5343190229959763	1	1	1.0	AT5G67500
GO:0034641	BP	e	cellular nitrogen compound metabolic process	1/15	122/2000	0.6123004734594433	1	1	1.0	AT3G56400
GO:0030312	CC	e	external encapsulating structure	1/15	26/2000	0.17878757635125073	1	1	1.0	AT5G67500
GO:0005618	CC	e	cell wall	1/15	26/2000	0.17878757635125073	2	1	1.0	AT5G67500
GO:0005634	CC	e	nucleus	2/15	118/2000	0.22036121507126422	2	2	1.0	AT2G40750, AT3G56400
GO:0005739	CC	e	mitochondrion	1/15	52/2000	0.32737544279981495	2	1	1.0	AT5G67500
GO:0005886	CC	e	plasma membrane	1/15	99/2000	0.5343190229959763	1	1	1.0	AT5G67500
GO:0016757	MF	e	transferase activity, transferring glycosyl groups	2/15	33/2000	0.024246224828798405	1	2	0.7117488554872887	AT1G23870, AT2G31750
GO:0043167	MF	e	ion binding	4/15	220/2000	0.07347044048113306	1	4	1.0	AT1G07360, AT1G55570, AT3G07200, AT3G16430
GO:0016791	MF	e	phosphatase activity	1/15	18/2000	0.12723617165877157	1	1	1.0	AT1G23870
GO:0001071	MF	e	nucleic acid binding transcription factor activity	2/15	101/2000	0.17325155819911964	1	2	1.0	AT2G40750, AT3G56400
GO:0022857	MF	e	transmembrane transporter activity	1/15	56/2000	0.34787037114433705	1	1	1.0	AT5G67500
GO:0003723	MF	e	RNA binding	1/15	58/2000	0.357897843627583	1	1	1.0	AT1G07360
GO:0016491	MF	e	oxidoreductase activity	1/15	83/2000	0.47168898094503864	1	1	1.0	AT1G55570
GO:0008150	BP	p	biological_process	11/15	1837/2000	0.028481346758194824	0	11	0.7117488554872887	AT1G07360, AT1G23870, AT1G74090, AT2G31750, AT2G40750, AT3G16430, AT3G56400, AT4G36600, AT5G41290, AT5G59616, AT5G67500
GO:0051186	BP	p	cofactor metabolic process	0/15	11/2000	1.0	1	0	1.0	
GO:0006605	BP	p	protein targeting	0/15	3/2000	1.0	2	0	1.0	
GO:0006457	BP	p	protein folding	0/15	23/2000	1.0	1	0	1.0	
GO:0044403	BP	p	symbiosis, encompassing mutualism through parasitism	0/15	2/2000	1.0	1	0	1.0	
GO:0009056	BP	p	catabolic process	0/15	27/2000	1.0	1	0	1.0	
GO:0006397	BP	p	mRNA processing	0/15	3/2000	1.0	2	0	1.0	
GO:0007010	BP	p	cytoskeleton organization	0/15	4/2000	1.0	1	0	1.0	
GO:0007049	BP	p	cell cycle	0/15	3/2000	1.0	1	0	1.0	
GO:0034330	BP	p	cell junction organization	0/15	1/2000	1.0	1	0	1.0	
GO:0034655	BP	p	nucleobase-containing compound catabolic process	0/15	2/2000	1.0	2	0	1.0	
GO:0000902	BP	p	cell morphogenesis	0/15	13/2000	1.0	1	0	1.0	
GO:0006412	BP	p	translation	0/15	32/2000	1.0	2	0	1.0	
GO:0055085	BP	p	transmembrane transport	0/15	9/2000	1.0	2	0	1.0	
GO:0051301	BP	p	cell division	0/15	1/2000	1.0	1	0	1.0	
GO:0042592	BP	p	homeostatic process	0/15	15/2000	1.0	1	0	1.0	
GO:0006461	BP	p	protein complex assembly	0/15	10/2000	1.0	3	0	1.0	
GO:0006464	BP	p	cellular protein modification process	0/15	96/2000	1.0	1	0	1.0	
GO:0006520	BP	p	cellular amino acid metabolic process	0/15	33/2000	1.0	2	0	1.0	
GO:0061024	BP	p	membrane organization	0/15	2/2000	1.0	1	0	1.0	
GO:0015979	BP	p	photosynthesis	0/15	5/2000	1.0	1	0	1.0	
GO:0022607	BP	p	cellular component assembly	0/15	14/2000	1.0	1	0	1.0	
GO:0042254	BP	p	ribosome biogenesis	0/15	7/2000	1.0	1	0	1.0	
GO:0008219	BP	p	cell death	0/15	10/2000	1.0	1	0	1.0	
GO:0040007	BP	p	growth	0/15	14/2000	1.0	1	0	1.0	
GO:0016192	BP	p	vesicle-mediated transport	0/15	15/2000	1.0	2	0	1.0	
GO:0006913	BP	p	nucleocytoplasmic transport	0/15	2/2000	1.0	2	0	1.0	
GO:0007034	BP	p	vacuolar transport	0/15	1/2000	1.0	2	0	1.0	
GO:0006399	BP	p	tRNA metabolic process	0/15	8/2000	1.0	2	0	1.0	
GO:0007568	BP	p	aging	0/15	4/2000	1.0	1	0	1.0	
GO:0065003	BP	p	macromolecular complex assembly	0/15	10/2000	1.0	2	0	1.0	
GO:0006629	BP	p	lipid metabolic process	0/15	45/2000	1.0	1	0	1.0	
GO:0006091	BP	p	generation of precursor metabolites and energy	0/15	12/2000	1.0	1	0	1.0	
GO:0007267	BP	p	cell-cell signaling	0/15	2/2000	1.0	1	0	1.0	
GO:0040011	BP	p	locomotion	0/15	3/2000	1.0	1	0	1.0	
GO:0030154	BP	p	cell differentiation	0/15	5/2000	1.0	1	0	1.0	
GO:0006259	BP	p	DNA metabolic process	0/15	18/2000	1.0	2	0	1.0	
GO:0051276	BP	p	chromosome organization	0/15	5/2000	1.0	1	0	1.0	
GO:0030198	BP	p	extracellular matrix organization	0/15	1/2000	1.0	1	0	1.0	
GO:0048646	BP	p	anatomical structure formation involved in morphogenesis	0/15	5/2000	1.0	1	0	1.0	
GO:0008283	BP	p	cell proliferation	0/15	2/2000	1.0	1	0	1.0	
GO:0006914	BP	p	autophagy	0/15	1/2000	1.0	1	0	1.0	
GO:0071554	BP	p	cell wall organization or biogenesis	0/15	6/2000	1.0	1	0	1.0	
GO:0000003	BP	p	reproduction	0/15	1/2000	1.0	1	0	1.0	
GO:0005575	CC	p	cellular_component	10/15	1822/2000	0.007572153399886049	0	10	0.31538018910525395	AT1G07360, AT1G55570, AT1G74090, AT2G40750, AT3G16430, AT3G56400, AT4G25690, AT5G41290, AT5G59616, AT5G67500
GO:0005737	CC	p	cytoplasm	0/15	32/2000	1.0	1	0	1.0	
GO:0005635	CC	p	nuclear envelope	0/15	3/2000	1.0	1	0	1.0	
GO:0005730	CC	p	nucleolus	0/15	14/2000	1.0	2	0	1.0	
GO:0005794	CC	p	Golgi apparatus	0/15	4/2000	1.0	2	0	1.0	
GO:0000229	CC	p	cytoplasmic chromosome	0/15	1/2000	1.0	3	0	1.0	
GO:0005829	CC	p	cytosol	0/15	24/2000	1.0	1	0	1.0	
GO:0005783	CC	p	endoplasmic reticulum	0/15	30/2000	1.0	2	0	1.0	
GO:0005576	CC	p	extracellular region	0/15	17/2000	1.0	1	0	1.0	
GO:0005773	CC	p	vacuole	0/15	34/2000	1.0	2	0	1.0	
GO:0005694	CC	p	chromosome	0/15	5/2000	1.0	2	0	1.0	
GO:0005777	CC	p	peroxisome	0/15	8/2000	1.0	2	0	1.0	
GO:0005622	CC	p	intracellular	0/15	34/2000	1.0	1	0	1.0	
GO:0005856	CC	p	cytoskeleton	0/15	1/2000	1.0	2	0	1.0	
GO:0005840	CC	p	ribosome	0/15	22/2000	1.0	2	0	1.0	
GO:0009579	CC	p	thylakoid	0/15	13/2000	1.0	1	0	1.0	
GO:0043234	CC	p	protein complex	0/15	74/2000	1.0	1	0	1.0	
GO:0009536	CC	p	plastid	1/15	171/2000	1.0	2	1	1.0	AT5G67500
GO:0000228	CC	p	nuclear chromosome	0/15	1/2000	1.0	3	0	1.0	
GO:0043226	CC	p	organelle	3/15	408/2000	1.0	1	3	1.0	AT2G40750, AT3G56400, AT5G67500
GO:0003674	MF	p	molecular_function	13/15	1806/2000	0.6505303428687707	0	13	1.0	AT1G07360, AT1G23870, AT1G55570, AT1G74090, AT2G31750, AT2G39420, AT2G40750, AT3G07200, AT3G16430, AT3G56400, AT4G36600, AT5G59616, AT5G67500
GO:0003735	MF	p	structural constituent of ribosome	0/15	26/2000	1.0	2	0	1.0	
GO:0004386	MF	p	helicase activity	0/15	4/2000	1.0	1	0	1.0	
GO:0008168	MF	p	methyltransferase activity	0/15	15/2000	1.0	1	0	1.0	
GO:0005198	MF	p	structural molecule activity	0/15	39/2000	1.0	1	0	1.0	
GO:0016301	MF	p	kinase activity	0/15	66/2000	1.0	1	0	1.0	
GO:0004518	MF	p	nuclease activity	0/15	10/2000	1.0	1	0	1.0	
GO:0016853	MF	p	isomerase activity	0/15	14/2000	1.0	1	0	1.0	
GO:0004871	MF	p	signal transducer activity	0/15	19/2000	1.0	1	0	1.0	
GO:0008289	MF	p	lipid binding	0/15	17/2000	1.0	1	0	1.0	
