A2M	HP:0000006;HP:0000726;HP:0001300;HP:0001425;HP:0002185;HP:0002423;HP:0002511;HP:0410054
A2ML1	HP:0000006;HP:0000028;HP:0000044;HP:0000179;HP:0000218;HP:0000316;HP:0000325;HP:0000347;HP:0000348;HP:0000368;HP:0000391;HP:0000403;HP:0000407;HP:0000465;HP:0000474;HP:0000476;HP:0000486;HP:0000494;HP:0000508;HP:0000520;HP:0000639;HP:0000767;HP:0000768;HP:0000995;HP:0001004;HP:0001156;HP:0001252;HP:0001260;HP:0001324;HP:0001641;HP:0001743;HP:0001892;HP:0001928;HP:0002162;HP:0002208;HP:0002240;HP:0002650;HP:0002750;HP:0002974;HP:0004209;HP:0004322;HP:0004415;HP:0005692;HP:0006610;HP:0007477;HP:0008872;HP:0010318;HP:0010982;HP:0011362;HP:0011381;HP:0011675;HP:0011800;HP:0011869;HP:0100625
A4GALT	HP:0000006;HP:0010970
AAAS	HP:0000007;HP:0000252;HP:0000407;HP:0000505;HP:0000522;HP:0000612;HP:0000648;HP:0000649;HP:0000830;HP:0000846;HP:0000953;HP:0000972;HP:0000982;HP:0001249;HP:0001250;HP:0001251;HP:0001252;HP:0001260;HP:0001263;HP:0001278;HP:0001324;HP:0001347;HP:0001430;HP:0001761;HP:0002093;HP:0002376;HP:0002571;HP:0003487;HP:0003676;HP:0004319;HP:0004322;HP:0007002;HP:0007440;HP:0007556;HP:0008163;HP:0008259;HP:0009916;HP:0010486;HP:0011463;HP:0012332
AAGAB	HP:0000006;HP:0000982;HP:0001425;HP:0001597;HP:0002894;HP:0003002;HP:0003003;HP:0003584;HP:0005584;HP:0006740;HP:0007530;HP:0012189;HP:0025092;HP:0025114;HP:0040162
AARS1	HP:0000006;HP:0000007;HP:0000252;HP:0000348;HP:0000407;HP:0000494;HP:0000504;HP:0000508;HP:0000546;HP:0000639;HP:0000643;HP:0000648;HP:0000668;HP:0000717;HP:0000750;HP:0001249;HP:0001250;HP:0001251;HP:0001257;HP:0001263;HP:0001265;HP:0001268;HP:0001273;HP:0001284;HP:0001290;HP:0001298;HP:0001336;HP:0001337;HP:0001508;HP:0001511;HP:0001558;HP:0001761;HP:0001765;HP:0002020;HP:0002059;HP:0002063;HP:0002072;HP:0002133;HP:0002317;HP:0002355;HP:0002376;HP:0002421;HP:0002460;HP:0002509;HP:0002521;HP:0002827;HP:0002936;HP:0003202;HP:0003429;HP:0003431;HP:0003477;HP:0003577;HP:0003828;HP:0004322;HP:0007018;HP:0009027;HP:0009830;HP:0010844;HP:0011968;HP:0012447;HP:0100660;HP:0100710;HP:0200134
AARS2	HP:0000007;HP:0000639;HP:0000716;HP:0000726;HP:0001251;HP:0001257;HP:0001260;HP:0001272;HP:0001332;HP:0001337;HP:0001508;HP:0001522;HP:0001639;HP:0002089;HP:0002151;HP:0002180;HP:0002186;HP:0002353;HP:0002371;HP:0003128;HP:0003324;HP:0003676;HP:0006970;HP:0006980;HP:0008209
AASS	HP:0000007;HP:0000119;HP:0000736;HP:0000750;HP:0000752;HP:0001083;HP:0001249;HP:0001250;HP:0001252;HP:0001256;HP:0001903;HP:0002161;HP:0003593;HP:0100543
ABAT	HP:0000007;HP:0000098;HP:0000278;HP:0000494;HP:0001250;HP:0001254;HP:0001263;HP:0001274;HP:0001321;HP:0001347;HP:0002415;HP:0003819;HP:0006829;HP:0007291;HP:0025356;HP:0025430
ABCA1	HP:0000006;HP:0000007;HP:0000505;HP:0000622;HP:0000656;HP:0000958;HP:0000991;HP:0001265;HP:0001349;HP:0001392;HP:0001433;HP:0001658;HP:0001677;HP:0001712;HP:0001744;HP:0001873;HP:0001903;HP:0002027;HP:0002155;HP:0002164;HP:0002240;HP:0002460;HP:0002716;HP:0002730;HP:0003146;HP:0003233;HP:0003396;HP:0003457;HP:0003477;HP:0003693;HP:0004374;HP:0004943;HP:0005145;HP:0005181;HP:0006901;HP:0007133;HP:0007328;HP:0007759;HP:0007957;HP:0008404;HP:0010829;HP:0011096;HP:0025608;HP:0030814;HP:0100546
ABCA12	HP:0000007;HP:0000083;HP:0000164;HP:0000232;HP:0000364;HP:0000365;HP:0000389;HP:0000457;HP:0000491;HP:0000518;HP:0000520;HP:0000656;HP:0000707;HP:0000958;HP:0000962;HP:0000966;HP:0000982;HP:0000989;HP:0001019;HP:0001161;HP:0001217;HP:0001376;HP:0001438;HP:0001508;HP:0001596;HP:0001597;HP:0001622;HP:0001645;HP:0001820;HP:0001829;HP:0001944;HP:0002047;HP:0002063;HP:0002093;HP:0002205;HP:0004322;HP:0007431;HP:0008064;HP:0008070;HP:0009381;HP:0011039;HP:0012472;HP:0100543;HP:0100679;HP:0100716;HP:0100758;HP:0100806;HP:0100840;HP:0200020
ABCA2	HP:0000007;HP:0000252;HP:0000519;HP:0000718;HP:0001250;HP:0001256;HP:0001260;HP:0001324;HP:0002066;HP:0002286;HP:0002311;HP:0003141;HP:0011342;HP:0031936
ABCA3	HP:0000007;HP:0000765;HP:0000961;HP:0001425;HP:0001508;HP:0001622;HP:0001649;HP:0001662;HP:0001695;HP:0002020;HP:0002090;HP:0002098;HP:0002104;HP:0002110;HP:0002206;HP:0002615;HP:0002789;HP:0002875;HP:0002878;HP:0003577;HP:0005942;HP:0006517;HP:0010444;HP:0012418;HP:0012735;HP:0025175;HP:0025179;HP:0025390;HP:0030830;HP:0030863;HP:0100598;HP:0100750;HP:0100759;HP:0100806
ABCA4	HP:0000006;HP:0000007;HP:0000035;HP:0000135;HP:0000405;HP:0000407;HP:0000431;HP:0000463;HP:0000493;HP:0000501;HP:0000505;HP:0000510;HP:0000512;HP:0000518;HP:0000543;HP:0000548;HP:0000551;HP:0000563;HP:0000572;HP:0000580;HP:0000602;HP:0000603;HP:0000608;HP:0000610;HP:0000613;HP:0000618;HP:0000639;HP:0000648;HP:0000649;HP:0000662;HP:0000842;HP:0000987;HP:0001133;HP:0001249;HP:0001347;HP:0001513;HP:0003621;HP:0005978;HP:0007663;HP:0007675;HP:0007703;HP:0007704;HP:0007722;HP:0007737;HP:0007814;HP:0007843;HP:0007984;HP:0007994;HP:0008002;HP:0008035;HP:0008046;HP:0008059;HP:0008736;HP:0011462;HP:0011463;HP:0011504;HP:0030329;HP:0030500
ABCA5	HP:0000007;HP:0000169;HP:0000212;HP:0000280;HP:0000286;HP:0000414;HP:0000494;HP:0000574;HP:0000664;HP:0000684;HP:0000998;HP:0001007;HP:0001250;HP:0001251;HP:0002230;HP:0002353;HP:0004540;HP:0009928;HP:0012810;HP:0100543
ABCA7	HP:0000006;HP:0000504;HP:0000657;HP:0000713;HP:0000716;HP:0000734;HP:0000738;HP:0001249;HP:0001250;HP:0001251;HP:0001276;HP:0001289;HP:0001300;HP:0001336;HP:0002071;HP:0002120;HP:0002185;HP:0002354;HP:0002381;HP:0002463;HP:0002511;HP:0003791;HP:0010525;HP:0010526;HP:0012433;HP:0030219;HP:0100256;HP:0410170
