Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell membrane	35	25.36231884057971	1.2755463992717954E-4	ENSMUSG00000038264, ENSMUSG00000029334, ENSMUSG00000040724, ENSMUSG00000090071, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000034936, ENSMUSG00000033392, ENSMUSG00000031748, ENSMUSG00000034160, ENSMUSG00000048347, ENSMUSG00000019906, ENSMUSG00000036815, ENSMUSG00000044024, ENSMUSG00000021870, ENSMUSG00000047976, ENSMUSG00000006651, ENSMUSG00000046798, ENSMUSG00000037754, ENSMUSG00000046182, ENSMUSG00000040420, ENSMUSG00000052372, ENSMUSG00000015002, ENSMUSG00000004568, ENSMUSG00000005034, ENSMUSG00000059857, ENSMUSG00000047787, ENSMUSG00000024044, ENSMUSG00000052105, ENSMUSG00000021303, ENSMUSG00000000711, ENSMUSG00000047414, ENSMUSG00000028552, ENSMUSG00000031342, ENSMUSG00000042046	136	1706	12884	1.9435728570443414	0.02319823643034391	0.02319823643034391	0.15757753216215642
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	47	34.05797101449276	1.7573433789210802E-4	ENSMUSG00000003934, ENSMUSG00000038264, ENSMUSG00000029334, ENSMUSG00000032375, ENSMUSG00000040724, ENSMUSG00000090071, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000034936, ENSMUSG00000033392, ENSMUSG00000048834, ENSMUSG00000031748, ENSMUSG00000034160, ENSMUSG00000048347, ENSMUSG00000019906, ENSMUSG00000034245, ENSMUSG00000036815, ENSMUSG00000044024, ENSMUSG00000021870, ENSMUSG00000033863, ENSMUSG00000047976, ENSMUSG00000006651, ENSMUSG00000046798, ENSMUSG00000037754, ENSMUSG00000046182, ENSMUSG00000040420, ENSMUSG00000056413, ENSMUSG00000052372, ENSMUSG00000015002, ENSMUSG00000004568, ENSMUSG00000005034, ENSMUSG00000019478, ENSMUSG00000027895, ENSMUSG00000021466, ENSMUSG00000023960, ENSMUSG00000059857, ENSMUSG00000047787, ENSMUSG00000073725, ENSMUSG00000024044, ENSMUSG00000052105, ENSMUSG00000021303, ENSMUSG00000000711, ENSMUSG00000028552, ENSMUSG00000047414, ENSMUSG00000031342, ENSMUSG00000042046, ENSMUSG00000026335	131	2580	12013	1.6705455944138705	0.03572639754123064	0.03572639754123064	0.22127943622731738
GOTERM_BP_ALL	GO:0051049~regulation of transport	30	21.73913043478261	2.3210813815049999E-4	ENSMUSG00000037386, ENSMUSG00000027674, ENSMUSG00000022523, ENSMUSG00000040724, ENSMUSG00000090071, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000033392, ENSMUSG00000032890, ENSMUSG00000031748, ENSMUSG00000034160, ENSMUSG00000005583, ENSMUSG00000020657, ENSMUSG00000036815, ENSMUSG00000047976, ENSMUSG00000046182, ENSMUSG00000052372, ENSMUSG00000020366, ENSMUSG00000090935, ENSMUSG00000041236, ENSMUSG00000019478, ENSMUSG00000027895, ENSMUSG00000021466, ENSMUSG00000059970, ENSMUSG00000073725, ENSMUSG00000052105, ENSMUSG00000057880, ENSMUSG00000000711, ENSMUSG00000031342, ENSMUSG00000026335	123	1360	11250	2.0175753228120517	0.4664260073033474	0.4664260073033474	0.41234506910593494
GOTERM_BP_FAT	GO:0051049~regulation of transport	30	21.73913043478261	2.6747449891734794E-4	ENSMUSG00000037386, ENSMUSG00000027674, ENSMUSG00000022523, ENSMUSG00000040724, ENSMUSG00000090071, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000033392, ENSMUSG00000032890, ENSMUSG00000031748, ENSMUSG00000034160, ENSMUSG00000005583, ENSMUSG00000020657, ENSMUSG00000036815, ENSMUSG00000047976, ENSMUSG00000046182, ENSMUSG00000052372, ENSMUSG00000020366, ENSMUSG00000090935, ENSMUSG00000041236, ENSMUSG00000019478, ENSMUSG00000027895, ENSMUSG00000021466, ENSMUSG00000059970, ENSMUSG00000073725, ENSMUSG00000052105, ENSMUSG00000057880, ENSMUSG00000000711, ENSMUSG00000031342, ENSMUSG00000026335	123	1360	11157	2.000896700143472	0.5046456858746905	0.5046456858746905	0.4734304044175963
GOTERM_BP_ALL	GO:0042391~regulation of membrane potential	12	8.695652173913043	3.754838973228619E-4	ENSMUSG00000047976, ENSMUSG00000037386, ENSMUSG00000006818, ENSMUSG00000042589, ENSMUSG00000027895, ENSMUSG00000032890, ENSMUSG00000027674, ENSMUSG00000022523, ENSMUSG00000005583, ENSMUSG00000040724, ENSMUSG00000057880, ENSMUSG00000064329	123	297	11250	3.6954915003695494	0.6380503737687833	0.39837750521509196	0.6662528078368535
GOTERM_BP_FAT	GO:0042391~regulation of membrane potential	12	8.695652173913043	4.025236126752657E-4	ENSMUSG00000047976, ENSMUSG00000037386, ENSMUSG00000006818, ENSMUSG00000042589, ENSMUSG00000027895, ENSMUSG00000032890, ENSMUSG00000027674, ENSMUSG00000022523, ENSMUSG00000005583, ENSMUSG00000040724, ENSMUSG00000057880, ENSMUSG00000064329	123	297	11157	3.6649421039664944	0.6525865824512785	0.41058213672410515	0.711663306385657
GOTERM_BP_ALL	GO:0007626~locomotory behavior	9	6.521739130434782	7.783031864585149E-4	ENSMUSG00000018411, ENSMUSG00000003934, ENSMUSG00000022307, ENSMUSG00000006818, ENSMUSG00000031748, ENSMUSG00000022523, ENSMUSG00000038248, ENSMUSG00000057880, ENSMUSG00000064329	123	181	11250	4.54790459506805	0.8783866386214759	0.5045569230887001	1.3763498842801147
GOTERM_BP_FAT	GO:0007626~locomotory behavior	9	6.521739130434782	8.210148306021505E-4	ENSMUSG00000018411, ENSMUSG00000003934, ENSMUSG00000022307, ENSMUSG00000006818, ENSMUSG00000031748, ENSMUSG00000022523, ENSMUSG00000038248, ENSMUSG00000057880, ENSMUSG00000064329	123	181	11157	4.51030858374882	0.8843134010914604	0.5127397117551924	1.446488507107646
UP_KEYWORDS	Membrane	69	50.0	8.881143681976884E-4	ENSMUSG00000003934, ENSMUSG00000026915, ENSMUSG00000029334, ENSMUSG00000040724, ENSMUSG00000090071, ENSMUSG00000034936, ENSMUSG00000031748, ENSMUSG00000074212, ENSMUSG00000055421, ENSMUSG00000010663, ENSMUSG00000048347, ENSMUSG00000044024, ENSMUSG00000021870, ENSMUSG00000006651, ENSMUSG00000046182, ENSMUSG00000033629, ENSMUSG00000015002, ENSMUSG00000005034, ENSMUSG00000004568, ENSMUSG00000090935, ENSMUSG00000019478, ENSMUSG00000041236, ENSMUSG00000079557, ENSMUSG00000023960, ENSMUSG00000021303, ENSMUSG00000042046, ENSMUSG00000031342, ENSMUSG00000029221, ENSMUSG00000038264, ENSMUSG00000055373, ENSMUSG00000024588, ENSMUSG00000032375, ENSMUSG00000046312, ENSMUSG00000054455, ENSMUSG00000027674, ENSMUSG00000037071, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000027784, ENSMUSG00000033392, ENSMUSG00000034557, ENSMUSG00000024799, ENSMUSG00000014313, ENSMUSG00000034160, ENSMUSG00000041084, ENSMUSG00000049100, ENSMUSG00000019906, ENSMUSG00000020964, ENSMUSG00000030337, ENSMUSG00000036815, ENSMUSG00000047976, ENSMUSG00000037754, ENSMUSG00000046798, ENSMUSG00000040420, ENSMUSG00000052372, ENSMUSG00000025375, ENSMUSG00000027895, ENSMUSG00000029571, ENSMUSG00000021466, ENSMUSG00000059857, ENSMUSG00000047787, ENSMUSG00000073725, ENSMUSG00000052105, ENSMUSG00000024044, ENSMUSG00000000711, ENSMUSG00000028552, ENSMUSG00000047414, ENSMUSG00000028399, ENSMUSG00000026335	136	4752	12884	1.3755756090314912	0.15082131662589382	0.07849108339956568	1.0924247081446903
GOTERM_BP_ALL	GO:0007610~behavior	15	10.869565217391305	0.0010779161987638144	ENSMUSG00000003934, ENSMUSG00000026915, ENSMUSG00000022523, ENSMUSG00000040724, ENSMUSG00000038248, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000022307, ENSMUSG00000006818, ENSMUSG00000042589, ENSMUSG00000031748, ENSMUSG00000005583, ENSMUSG00000057880, ENSMUSG00000032186, ENSMUSG00000021779	123	503	11250	2.72753721573001	0.9459807286738277	0.5178999456902582	1.9014031366692663
GOTERM_BP_FAT	GO:0007610~behavior	15	10.869565217391305	0.0011663446705190506	ENSMUSG00000003934, ENSMUSG00000026915, ENSMUSG00000022523, ENSMUSG00000040724, ENSMUSG00000038248, ENSMUSG00000064329, ENSMUSG00000018411, ENSMUSG00000022307, ENSMUSG00000006818, ENSMUSG00000042589, ENSMUSG00000031748, ENSMUSG00000005583, ENSMUSG00000057880, ENSMUSG00000032186, ENSMUSG00000021779	123	503	11157	2.704989574746642	0.9533278964592053	0.5352019002848674	2.0489826553718227
